donor_id,donation_count,total_donations,average_donation,days_since_last_donation,donations_last_30_days,donations_last_90_days,donations_last_365_days,campaign_count
DNR-00180,7,2651.23,378.75,1.0,6,7,7,7
DNR-00181,4,2653.06,663.27,375.0,0,0,0,4
DNR-00182,4,491.45,122.86,24.0,1,1,1,4
DNR-00183,5,28886.91,5777.38,53.0,0,1,1,5
DNR-00184,4,2870.23,717.56,391.0,0,0,0,4
DNR-00185,9,747.02,83.0,21.0,1,3,9,8
DNR-00186,2,153.65,76.82,959.0,0,0,0,2
DNR-00187,1,11962.93,11962.93,65.0,0,1,1,1
DNR-00188,5,70989.61,14197.92,90.0,0,1,2,5
DNR-00189,4,1997.66,499.42,501.0,0,0,0,4
DNR-00190,4,1153.64,288.41,867.0,0,0,0,4
DNR-00191,6,823.75,137.29,152.0,0,0,2,4
DNR-00192,5,956.04,191.21,533.0,0,0,0,5
DNR-00193,5,359.6,71.92,18.0,1,2,5,5
DNR-00194,5,264.48,52.9,11.0,1,2,5,5
DNR-00195,11,63001.96,5727.45,13.0,1,3,7,11
DNR-00196,4,657.38,164.34,128.0,0,0,1,4
DNR-00197,3,41255.93,13751.98,104.0,0,0,2,3
DNR-00198,4,232.98,58.24,331.0,0,0,1,4
DNR-00199,6,1269.81,211.64,240.0,0,0,1,6
DNR-00200,3,79075.88,26358.63,49.0,0,1,2,3
DNR-00201,5,1734.94,346.99,0.0,1,2,2,5
DNR-00202,6,755.56,125.93,25.0,1,1,5,6
DNR-00203,5,255.28,51.06,473.0,0,0,0,5
DNR-00204,6,631.24,105.21,347.0,0,0,1,5
DNR-00205,5,618.82,123.76,214.0,0,0,2,5
DNR-00206,4,256.97,64.24,305.0,0,0,2,4
DNR-00207,8,1231.98,154.0,14.0,2,8,8,7
DNR-00208,3,504.78,168.26,27.0,1,1,2,3
DNR-00209,7,2649.28,378.47,80.0,0,1,1,7
DNR-00210,4,104711.38,26177.84,109.0,0,0,3,4
DNR-00211,3,257.85,85.95,278.0,0,0,1,3
DNR-00212,6,671.7,111.95,297.0,0,0,1,6
DNR-00213,3,153.72,51.24,459.0,0,0,0,3
DNR-00214,3,727.42,242.47,4.0,1,1,1,3
DNR-00215,10,1510.48,151.05,90.0,0,1,8,9
DNR-00216,3,379.65,126.55,60.0,0,1,1,3
DNR-00217,7,638.89,91.27,489.0,0,0,0,7
DNR-00218,8,968.92,121.12,39.0,0,1,2,7
DNR-00219,7,43812.55,6258.94,636.0,0,0,0,7
DNR-00220,1,1035.59,1035.59,179.0,0,0,1,1
DNR-00221,1,212.63,212.63,224.0,0,0,1,1
DNR-00222,4,288.97,72.24,53.0,0,1,1,4
DNR-00223,9,3309.92,367.77,2.0,3,9,9,9
DNR-00224,4,587.71,146.93,175.0,0,0,1,4
DNR-00225,4,98767.49,24691.87,260.0,0,0,1,4
DNR-00226,2,80.22,40.11,356.0,0,0,1,2
DNR-00227,3,15153.49,5051.16,671.0,0,0,0,3
DNR-00228,6,367.71,61.28,1.0,2,5,6,6
DNR-00229,7,344.23,49.18,43.0,0,1,5,7
DNR-00230,7,1475.85,210.84,18.0,1,3,7,7
DNR-00231,6,1545.14,257.52,45.0,0,3,6,6
DNR-00232,3,447.27,149.09,305.0,0,0,1,3
DNR-00233,4,253.2,63.3,36.0,0,2,4,3
DNR-00234,5,988.87,197.77,61.0,0,1,5,4
DNR-00235,6,193882.88,32313.81,3.0,5,6,6,6
DNR-00236,7,767.32,109.62,1.0,2,6,7,6
DNR-00237,3,2680.29,893.43,53.0,0,1,3,3
DNR-00238,8,99939.81,12492.48,86.0,0,2,4,7
DNR-00239,8,2500.54,312.57,4.0,6,8,8,7
DNR-00240,5,2771.38,554.28,29.0,1,3,5,5
DNR-00241,3,190.65,63.55,79.0,0,1,2,3
DNR-00242,8,1874.45,234.31,105.0,0,0,6,8
DNR-00243,9,2774.5,308.28,7.0,2,4,9,8
DNR-00244,7,443.13,63.3,117.0,0,0,4,7
DNR-00245,5,34888.42,6977.68,109.0,0,0,1,5
DNR-00246,8,1184.49,148.06,96.0,0,0,6,8
DNR-00247,4,229.28,57.32,13.0,1,2,3,4
DNR-00248,5,90006.92,18001.38,45.0,0,1,2,5
DNR-00249,7,1992.77,284.68,90.0,0,1,5,6
DNR-00250,7,2417.82,345.4,58.0,0,1,7,7
DNR-00251,6,1515.14,252.52,30.0,1,2,6,5
DNR-00252,8,685.45,85.68,144.0,0,0,1,8
DNR-00253,3,2224.54,741.51,253.0,0,0,1,3
DNR-00254,3,19715.06,6571.69,235.0,0,0,2,3
DNR-00255,7,1028.13,146.88,56.0,0,2,2,6
DNR-00256,5,441.22,88.24,536.0,0,0,0,5
DNR-00257,4,890.73,222.68,30.0,1,4,4,4
DNR-00258,8,4206.23,525.78,23.0,1,1,5,8
DNR-00259,1,21.22,21.22,173.0,0,0,1,1
DNR-00260,4,208.35,52.09,40.0,0,1,1,4
DNR-00261,4,2571.2,642.8,75.0,0,1,3,4
DNR-00262,2,446.61,223.3,30.0,1,1,2,2
DNR-00263,3,13636.48,4545.49,16.0,1,2,2,3
DNR-00264,5,628.53,125.71,127.0,0,0,4,5
DNR-00265,9,570.77,63.42,3.0,7,9,9,9
DNR-00266,3,206.62,68.87,96.0,0,0,3,3
DNR-00267,6,1099.11,183.19,299.0,0,0,2,6
DNR-00268,7,2566.7,366.67,93.0,0,0,1,6
DNR-00269,4,564.38,141.1,96.0,0,0,3,4
DNR-00270,7,3901.51,557.36,272.0,0,0,2,7
DNR-00271,3,585.04,195.01,159.0,0,0,2,3
DNR-00272,3,57284.32,19094.77,608.0,0,0,0,3
DNR-00273,4,210.07,52.52,119.0,0,0,4,4
DNR-00274,5,20617.83,4123.57,123.0,0,0,3,5
DNR-00275,4,1965.13,491.28,861.0,0,0,0,4
DNR-00276,4,221.67,55.42,82.0,0,1,2,4
DNR-00277,6,1839.02,306.5,81.0,0,2,6,6
DNR-00278,5,2542.3,508.46,839.0,0,0,0,5
DNR-00279,10,60119.43,6011.94,65.0,0,2,9,10
DNR-00280,6,1267.46,211.24,27.0,1,2,4,5
DNR-00281,4,890.53,222.63,23.0,1,2,4,4
DNR-00282,6,954.54,159.09,268.0,0,0,1,6
DNR-00283,3,589.23,196.41,152.0,0,0,1,3
DNR-00284,3,681.87,227.29,15.0,2,3,3,3
DNR-00285,3,367.28,122.43,149.0,0,0,3,3
DNR-00286,10,124278.15,12427.82,133.0,0,0,6,10
DNR-00287,5,3281.24,656.25,399.0,0,0,0,5
DNR-00288,1,7189.18,7189.18,41.0,0,1,1,1
DNR-00289,7,2468.77,352.68,27.0,1,2,4,6
DNR-00290,3,153.37,51.12,1069.0,0,0,0,3
DNR-00291,6,787.17,131.2,156.0,0,0,3,5
DNR-00292,7,666.15,95.16,87.0,0,1,3,7
DNR-00293,5,2299.49,459.9,24.0,1,2,5,5
DNR-00294,7,8294.54,1184.93,102.0,0,0,4,7
DNR-00295,5,263.79,52.76,125.0,0,0,3,4
DNR-00296,7,2178.68,311.24,84.0,0,1,3,7
DNR-00297,2,375.73,187.86,173.0,0,0,2,2
DNR-00298,8,287046.42,35880.8,85.0,0,1,6,7
DNR-00299,7,1524.6,217.8,22.0,1,1,1,7
DNR-00300,8,599.12,74.89,23.0,1,2,4,8
DNR-00301,4,624.95,156.24,5.0,1,1,3,4
DNR-00302,6,539.8,89.97,33.0,0,2,6,6
DNR-00303,2,476.28,238.14,536.0,0,0,0,2
DNR-00304,5,464.64,92.93,76.0,0,1,3,5
DNR-00305,5,1196.43,239.29,89.0,0,1,2,5
DNR-00306,4,170.65,42.66,171.0,0,0,1,4
DNR-00307,7,3367.88,481.13,301.0,0,0,1,7
DNR-00308,7,3088.01,441.14,383.0,0,0,0,7
DNR-00309,2,137.64,68.82,48.0,0,1,2,2
DNR-00310,3,419.23,139.74,443.0,0,0,0,3
DNR-00311,4,1518.66,379.66,46.0,0,1,2,4
DNR-00312,7,1843.58,263.37,4.0,2,4,7,7
DNR-00313,5,3105.23,621.05,886.0,0,0,0,5
DNR-00314,2,116.51,58.26,47.0,0,2,2,2
DNR-00315,5,901.81,180.36,23.0,1,3,5,5
DNR-00316,4,60938.33,15234.58,729.0,0,0,0,4
DNR-00317,6,948.03,158.0,52.0,0,1,2,6
DNR-00318,4,1306.48,326.62,232.0,0,0,1,4
DNR-00319,4,219.32,54.83,367.0,0,0,0,4
DNR-00320,7,407.76,58.25,48.0,0,1,7,7
DNR-00321,4,520.31,130.08,272.0,0,0,1,4
DNR-00322,5,35003.58,7000.72,510.0,0,0,0,5
DNR-00323,5,501.2,100.24,3.0,3,3,5,5
DNR-00324,6,1092.0,182.0,288.0,0,0,1,6
DNR-00325,5,440.07,88.01,38.0,0,2,5,5
DNR-00326,6,623.69,103.95,5.0,2,4,4,6
DNR-00327,2,100.58,50.29,357.0,0,0,1,2
DNR-00328,6,206150.97,34358.5,19.0,1,1,5,6
DNR-00329,5,284.55,56.91,65.0,0,1,3,4
DNR-00330,9,2998.03,333.11,77.0,0,1,4,9
DNR-00331,8,1731.35,216.42,11.0,1,1,2,7
DNR-00332,4,778.49,194.62,1142.0,0,0,0,4
DNR-00333,7,30135.26,4305.04,57.0,0,1,6,7
DNR-00334,4,2623.89,655.97,186.0,0,0,2,4
DNR-00335,6,520.89,86.82,4.0,2,3,6,5
DNR-00336,2,171.34,85.67,188.0,0,0,2,2
DNR-00337,2,30445.15,15222.58,285.0,0,0,1,2
DNR-00338,6,1420.6,236.77,26.0,1,2,6,6
DNR-00339,2,112.24,56.12,100.0,0,0,1,2
DNR-00340,6,1102.49,183.75,159.0,0,0,3,6
DNR-00341,7,4317.09,616.73,268.0,0,0,1,5
DNR-00342,5,1569.67,313.93,552.0,0,0,0,5
DNR-00343,9,2510.11,278.9,61.0,0,1,1,9
DNR-00344,6,900.25,150.04,90.0,0,1,3,5
DNR-00345,4,477.1,119.28,12.0,3,4,4,4
DNR-00346,3,26898.29,8966.1,779.0,0,0,0,3
DNR-00347,5,627.3,125.46,2.0,1,3,5,5
DNR-00348,6,345.59,57.6,238.0,0,0,3,6
DNR-00349,2,242.79,121.4,8.0,1,2,2,2
DNR-00350,3,16331.66,5443.89,190.0,0,0,3,3
DNR-00351,6,935.31,155.88,7.0,1,1,6,6
DNR-00352,2,22940.53,11470.26,268.0,0,0,1,2
DNR-00353,9,631.5,70.17,47.0,0,2,3,8
DNR-00354,8,1603.58,200.45,115.0,0,0,5,7
DNR-00355,6,528.13,88.02,27.0,1,4,6,6
DNR-00356,7,35207.84,5029.69,48.0,0,1,2,7
DNR-00357,6,287.62,47.94,382.0,0,0,0,6
DNR-00358,4,961.93,240.48,30.0,1,1,4,4
DNR-00359,5,4683.6,936.72,19.0,1,1,3,5
DNR-00360,3,33175.06,11058.35,523.0,0,0,0,3
DNR-00361,3,677.71,225.9,21.0,2,2,3,3
DNR-00362,5,1584.73,316.95,1.0,1,1,5,5
DNR-00363,5,317.42,63.48,61.0,0,1,1,5
DNR-00364,5,1551.43,310.29,13.0,1,2,4,5
DNR-00365,5,782.12,156.42,10.0,2,2,3,5
DNR-00366,1,25.71,25.71,66.0,0,1,1,1
DNR-00367,3,122.65,40.88,91.0,0,0,2,3
DNR-00368,7,1014.66,144.95,42.0,0,1,7,6
DNR-00369,7,443.01,63.29,468.0,0,0,0,6
DNR-00370,4,1019.71,254.93,424.0,0,0,0,4
DNR-00371,3,621.04,207.01,30.0,1,3,3,3
DNR-00372,2,156.06,78.03,364.0,0,0,1,2
DNR-00373,1,16122.01,16122.01,584.0,0,0,0,1
DNR-00374,5,89083.66,17816.73,107.0,0,0,4,5
DNR-00375,5,453.03,90.61,183.0,0,0,2,5
DNR-00376,4,1477.73,369.43,50.0,0,3,4,4
DNR-00377,4,191.75,47.94,194.0,0,0,2,4
DNR-00378,6,988.65,164.78,435.0,0,0,0,6
DNR-00379,4,669.9,167.48,77.0,0,1,4,4
DNR-00380,12,5249.67,437.47,76.0,0,1,3,11
DNR-00381,5,321.97,64.39,200.0,0,0,2,5
DNR-00382,7,50277.09,7182.44,6.0,2,6,7,7
DNR-00383,4,1198.36,299.59,180.0,0,0,2,4
DNR-00384,5,340.66,68.13,208.0,0,0,1,5
DNR-00385,5,638.63,127.73,15.0,1,2,3,5
DNR-00386,1,42859.53,42859.53,659.0,0,0,0,1
DNR-00387,7,1296.92,185.27,89.0,0,2,3,7
DNR-00388,7,697.94,99.71,294.0,0,0,1,7
DNR-00389,3,79997.87,26665.96,914.0,0,0,0,3
DNR-00390,2,85.2,42.6,255.0,0,0,1,2
DNR-00391,4,387.42,96.85,48.0,0,1,3,4
DNR-00392,5,264.86,52.97,59.0,0,3,5,5
DNR-00393,7,1061.47,151.64,146.0,0,0,5,6
DNR-00394,6,159862.49,26643.75,228.0,0,0,1,6
DNR-00395,4,203.4,50.85,7.0,1,4,4,4
DNR-00396,2,734.78,367.39,354.0,0,0,1,2
DNR-00397,3,977.43,325.81,10.0,1,2,2,3
DNR-00398,6,313.3,52.22,31.0,0,4,6,6
DNR-00399,4,1384.6,346.15,25.0,1,1,3,4
DNR-00400,3,273.98,91.33,18.0,3,3,3,3
DNR-00401,4,15413.15,3853.29,305.0,0,0,1,4
DNR-00402,6,186690.83,31115.14,95.0,0,0,2,6
DNR-00403,7,36071.36,5153.05,227.0,0,0,3,7
DNR-00404,8,1289.66,161.21,23.0,1,2,8,8
DNR-00405,0,0.0,0.0,,0,0,0,0
DNR-00406,4,390.17,97.54,33.0,0,1,4,4
DNR-00407,5,1365.52,273.1,77.0,0,1,2,5
DNR-00408,6,330.24,55.04,65.0,0,2,3,6
DNR-00409,1,1491.03,1491.03,761.0,0,0,0,1
DNR-00410,3,273.83,91.28,654.0,0,0,0,3
DNR-00411,2,2337.81,1168.9,41.0,0,1,2,2
DNR-00412,3,527.26,175.75,184.0,0,0,1,3
DNR-00413,3,913.95,304.65,123.0,0,0,1,3
DNR-00414,4,2842.29,710.57,22.0,1,1,1,4
DNR-00415,5,2151.27,430.25,91.0,0,0,4,5
DNR-00416,3,150.7,50.23,305.0,0,0,1,3
DNR-00417,4,2190.43,547.61,202.0,0,0,1,4
DNR-00418,3,57635.34,19211.78,448.0,0,0,0,3
DNR-00419,3,100.16,33.39,270.0,0,0,1,3
DNR-00420,4,666.3,166.58,267.0,0,0,2,3
DNR-00421,6,1155.91,192.65,28.0,1,1,3,6
DNR-00422,5,772.52,154.5,137.0,0,0,1,5
DNR-00423,6,31233.8,5205.63,129.0,0,0,2,6
DNR-00424,8,348.98,43.62,11.0,1,5,8,7
DNR-00425,3,4190.07,1396.69,58.0,0,1,2,3
DNR-00426,5,28832.37,5766.47,265.0,0,0,1,5
DNR-00427,6,39216.89,6536.15,61.0,0,1,6,6
DNR-00428,7,1660.42,237.2,172.0,0,0,3,6
DNR-00429,8,4811.39,601.42,194.0,0,0,2,7
DNR-00430,8,1334.83,166.85,23.0,1,1,5,8
DNR-00431,6,415.06,69.18,14.0,1,2,3,6
DNR-00432,8,241623.15,30202.89,254.0,0,0,1,7
DNR-00433,5,723.15,144.63,130.0,0,0,3,5
DNR-00434,2,52400.1,26200.05,1061.0,0,0,0,2
DNR-00435,2,506.27,253.14,504.0,0,0,0,2
DNR-00436,7,448.87,64.12,29.0,1,1,7,7
DNR-00437,3,2059.27,686.42,764.0,0,0,0,3
DNR-00438,3,137.07,45.69,176.0,0,0,2,3
DNR-00439,5,494.65,98.93,55.0,0,1,5,5
DNR-00440,5,1239.36,247.87,101.0,0,0,3,5
DNR-00441,4,212.49,53.12,14.0,1,2,3,4
DNR-00442,1,61.99,61.99,301.0,0,0,1,1
DNR-00443,3,363.92,121.31,95.0,0,0,1,3
DNR-00444,7,1434.87,204.98,69.0,0,1,5,7
DNR-00445,6,40637.62,6772.94,1.0,2,6,6,5
DNR-00446,4,367.09,91.77,95.0,0,0,4,4
DNR-00447,1,303.39,303.39,352.0,0,0,1,1
DNR-00448,3,161.78,53.93,24.0,1,1,3,3
DNR-00449,4,288.63,72.16,121.0,0,0,2,4
DNR-00450,9,2780.28,308.92,87.0,0,1,3,9
DNR-00451,5,3213.29,642.66,146.0,0,0,2,4
DNR-00452,5,273.18,54.64,17.0,1,1,1,5
DNR-00453,5,742.05,148.41,21.0,2,5,5,5
DNR-00454,5,1947.34,389.47,76.0,0,1,4,5
DNR-00455,7,690.35,98.62,297.0,0,0,1,7
DNR-00456,7,510.87,72.98,513.0,0,0,0,7
DNR-00457,4,2117.02,529.26,14.0,1,1,2,4
DNR-00458,4,1792.93,448.23,24.0,2,4,4,4
DNR-00459,1,40.06,40.06,1220.0,0,0,0,1
DNR-00460,6,872.86,145.48,5.0,1,1,4,6
DNR-00461,5,75127.14,15025.43,175.0,0,0,1,5
DNR-00462,5,870.49,174.1,207.0,0,0,1,5
DNR-00463,7,2653.21,379.03,115.0,0,0,3,7
DNR-00464,6,4696.03,782.67,139.0,0,0,3,6
DNR-00465,4,252.63,63.16,177.0,0,0,3,4
DNR-00466,1,15.77,15.77,128.0,0,0,1,1
DNR-00467,9,1504.25,167.14,16.0,1,2,4,9
