donor_id,age_group,location,donor_since,donor_type
DNR-00068,45-54,GA,2025-05-29,Individual
DNR-00069,25-34,GA,2023-06-24,Individual
DNR-00070,55-64,TX,2025-06-14,Corporate
DNR-00071,35-44,WA,2024-09-11,Individual
DNR-00072,55-64,FL,2024-06-22,Individual
DNR-00073,55-64,TX,2024-10-09,Individual
DNR-00074,65+,MI,2021-02-20,Individual
DNR-00075,35-44,WA,2025-10-07,Individual
DNR-00076,45-54,GA,2024-03-24,Individual
DNR-00077,45-54,NY,2023-03-30,Individual
DNR-00078,55-64,OH,2025-03-18,Corporate
DNR-00079,65+,NC,2022-03-25,Individual
DNR-00080,25-34,CA,2023-08-10,Individual
DNR-00081,35-44,NC,2023-07-24,Individual
DNR-00082,65+,GA,2024-02-19,Individual
DNR-00083,55-64,OH,2024-06-08,Individual
DNR-00084,35-44,TX,2025-08-29,Corporate
DNR-00085,35-44,FL,2025-03-04,Corporate
DNR-00086,55-64,NC,2025-09-17,Individual
DNR-00087,25-34,CA,2023-09-20,Individual
DNR-00088,25-34,PA,2025-01-01,Individual
DNR-00089,25-34,OH,2024-01-12,Individual
DNR-00090,25-34,OH,2024-11-22,Individual
DNR-00091,35-44,NY,2023-04-15,Individual
DNR-00092,35-44,MI,2022-02-28,Individual
DNR-00093,55-64,MI,2024-11-25,Individual
DNR-00094,65+,IL,2023-02-19,Individual
DNR-00095,55-64,OH,2025-03-24,Individual
DNR-00096,45-54,MI,2024-01-08,Individual
DNR-00097,25-34,GA,2022-03-28,Individual
DNR-00098,45-54,OH,2021-03-01,Individual
DNR-00099,35-44,TX,2025-01-23,Individual
DNR-00100,65+,MI,2024-06-28,Individual
DNR-00101,25-34,OH,2024-03-01,Individual
DNR-00102,25-34,IL,2021-10-05,Corporate
DNR-00103,35-44,PA,2023-02-16,Individual
DNR-00104,25-34,OH,2025-04-08,Corporate
DNR-00105,35-44,CO,2022-06-01,Individual
DNR-00106,65+,FL,2024-01-10,Individual
DNR-00107,65+,NY,2024-08-24,Individual
DNR-00108,25-34,NY,2025-03-25,Individual
DNR-00109,25-34,WA,2024-06-26,Individual
DNR-00110,25-34,CO,2021-08-23,Individual
DNR-00111,25-34,MI,2022-06-09,Individual
DNR-00112,55-64,TX,2025-03-12,Individual
DNR-00113,18-24,IL,2022-09-30,Individual
DNR-00114,65+,OH,2024-03-25,Individual
DNR-00115,45-54,WA,2025-01-04,Individual
DNR-00116,55-64,WA,2022-05-13,Individual
DNR-00117,55-64,MI,2024-05-14,Individual
DNR-00118,45-54,WA,2025-05-22,Individual
DNR-00119,45-54,NY,2023-01-29,Individual
DNR-00120,35-44,OH,2025-10-06,Individual
DNR-00121,55-64,CO,2023-01-12,Individual
DNR-00122,45-54,WA,2021-11-10,Individual
DNR-00123,65+,GA,2022-07-08,Individual
DNR-00124,45-54,IL,2023-08-11,Individual
DNR-00125,55-64,CA,2022-10-23,Corporate
DNR-00126,25-34,GA,2022-07-26,Corporate
DNR-00127,35-44,NY,2024-03-13,Individual
DNR-00128,25-34,FL,2023-10-10,Corporate
DNR-00129,35-44,MI,2022-12-28,Individual
DNR-00130,45-54,NC,2024-12-07,Corporate
DNR-00131,45-54,GA,2022-01-27,Individual
DNR-00132,45-54,WA,2024-02-12,Individual
DNR-00133,55-64,CA,2024-12-28,Individual
DNR-00134,45-54,IL,2022-08-26,Individual
DNR-00135,35-44,NC,2024-09-21,Individual
DNR-00136,45-54,PA,2022-12-06,Individual
DNR-00137,25-34,IL,2022-12-22,Individual
DNR-00138,25-34,CA,2022-04-18,Individual
DNR-00139,55-64,TX,2025-03-02,Individual
DNR-00140,35-44,CO,2022-01-28,Individual
DNR-00141,35-44,IL,2024-04-22,Major Donor
DNR-00142,35-44,PA,2021-07-25,Individual
DNR-00143,45-54,TX,2022-01-03,Individual
DNR-00144,18-24,IL,2022-07-16,Individual
DNR-00145,45-54,GA,2024-11-29,Foundation
DNR-00146,45-54,GA,2021-07-30,Corporate
DNR-00147,25-34,NY,2023-09-08,Individual
DNR-00148,35-44,CA,2022-06-02,Foundation
DNR-00149,45-54,WA,2023-04-01,Individual
DNR-00150,55-64,IL,2021-04-20,Individual
DNR-00151,25-34,OH,2021-06-24,Major Donor
DNR-00152,45-54,NC,2024-05-26,Individual
DNR-00153,35-44,MI,2023-02-19,Individual
DNR-00154,45-54,MI,2023-05-29,Individual
DNR-00155,55-64,WA,2025-02-24,Individual
DNR-00156,25-34,FL,2022-03-09,Individual
DNR-00157,25-34,OH,2021-12-22,Individual
DNR-00158,35-44,NY,2023-07-12,Individual
DNR-00159,35-44,GA,2022-04-20,Individual
DNR-00160,65+,WA,2021-05-26,Individual
DNR-00161,65+,OH,2024-04-22,Individual
DNR-00162,45-54,IL,2021-08-24,Individual
DNR-00163,18-24,IL,2025-08-20,Individual
DNR-00164,45-54,IL,2024-05-03,Individual
DNR-00165,45-54,CO,2023-06-19,Individual
DNR-00166,35-44,GA,2023-04-05,Foundation
DNR-00167,18-24,OH,2023-06-16,Individual
DNR-00168,25-34,CA,2025-02-13,Individual
DNR-00169,55-64,MI,2022-04-14,Foundation
DNR-00170,65+,WA,2024-04-17,Foundation
DNR-00171,18-24,TX,2025-08-10,Individual
DNR-00172,35-44,IL,2023-08-22,Individual
DNR-00173,35-44,GA,2022-01-07,Major Donor
DNR-00174,35-44,PA,2021-07-06,Individual
DNR-00175,25-34,OH,2024-10-04,Individual
DNR-00176,45-54,OH,2024-11-21,Individual
DNR-00177,18-24,CA,2025-07-25,Individual
DNR-00178,25-34,OH,2022-10-07,Individual
DNR-00179,65+,WA,2025-11-07,Individual
DNR-00180,35-44,FL,2025-11-16,Individual
DNR-00181,55-64,WA,2023-11-28,Individual
DNR-00182,25-34,NC,2023-06-25,Individual
DNR-00183,35-44,CO,2021-09-26,Corporate
DNR-00184,65+,MI,2023-09-20,Individual
DNR-00185,25-34,NC,2025-06-25,Individual
DNR-00186,25-34,CA,2021-01-29,Individual
DNR-00187,45-54,TX,2023-08-04,Foundation
DNR-00188,35-44,CO,2023-10-18,Foundation
DNR-00189,35-44,GA,2022-07-14,Individual
DNR-00190,25-34,FL,2022-05-15,Individual
DNR-00191,55-64,CA,2024-05-12,Individual
DNR-00192,55-64,PA,2022-07-20,Individual
DNR-00193,55-64,IL,2025-06-02,Individual
DNR-00194,45-54,WA,2025-01-26,Individual
DNR-00195,35-44,GA,2023-09-30,Corporate
DNR-00196,55-64,OH,2022-12-08,Individual
DNR-00197,55-64,CO,2023-07-22,Foundation
DNR-00198,25-34,OH,2022-05-05,Individual
DNR-00199,35-44,OH,2021-03-31,Individual
DNR-00200,55-64,WA,2023-03-02,Major Donor
DNR-00201,18-24,NC,2021-11-08,Individual
DNR-00202,25-34,GA,2024-04-23,Individual
DNR-00203,35-44,CO,2021-07-24,Individual
DNR-00204,45-54,TX,2021-10-23,Individual
DNR-00205,65+,PA,2021-06-03,Individual
DNR-00206,45-54,PA,2024-06-30,Individual
DNR-00207,45-54,PA,2025-10-12,Individual
DNR-00208,55-64,NC,2024-07-07,Individual
DNR-00209,25-34,WA,2021-03-15,Individual
DNR-00210,45-54,OH,2022-08-12,Major Donor
DNR-00211,45-54,CA,2021-07-21,Individual
DNR-00212,35-44,NY,2023-06-28,Individual
DNR-00213,18-24,PA,2021-04-05,Individual
DNR-00214,25-34,OH,2023-02-07,Individual
DNR-00215,25-34,TX,2024-03-05,Individual
DNR-00216,35-44,WA,2021-06-11,Individual
DNR-00217,45-54,FL,2022-05-09,Individual
DNR-00218,35-44,WA,2023-08-03,Individual
DNR-00219,35-44,IL,2021-01-20,Corporate
DNR-00220,18-24,PA,2024-10-19,Individual
DNR-00221,65+,CO,2024-04-18,Individual
DNR-00222,35-44,OH,2022-05-28,Individual
DNR-00223,25-34,MI,2025-10-14,Individual
DNR-00224,65+,IL,2023-01-06,Individual
DNR-00225,45-54,IL,2021-02-14,Major Donor
DNR-00226,45-54,CO,2021-01-17,Individual
DNR-00227,45-54,IL,2021-04-11,Corporate
DNR-00228,45-54,PA,2025-05-08,Individual
DNR-00229,45-54,WA,2022-03-25,Individual
DNR-00230,45-54,TX,2025-03-28,Individual
DNR-00231,45-54,NY,2024-07-10,Individual
DNR-00232,18-24,PA,2022-09-25,Individual
DNR-00233,65+,PA,2025-02-08,Individual
DNR-00234,25-34,NC,2025-03-11,Individual
DNR-00235,45-54,IL,2025-11-30,Major Donor
DNR-00236,65+,GA,2025-08-28,Individual
DNR-00237,55-64,CA,2025-07-10,Individual
DNR-00238,25-34,FL,2023-08-18,Foundation
DNR-00239,45-54,OH,2025-10-28,Individual
DNR-00240,35-44,OH,2025-09-29,Individual
DNR-00241,25-34,PA,2021-01-29,Individual
DNR-00242,25-34,OH,2024-10-09,Individual
DNR-00243,35-44,WA,2025-08-12,Individual
DNR-00244,45-54,NC,2022-04-24,Individual
DNR-00245,25-34,CA,2022-11-03,Corporate
DNR-00246,65+,IL,2024-07-25,Individual
DNR-00247,25-34,NY,2024-08-22,Individual
DNR-00248,25-34,FL,2022-09-16,Major Donor
DNR-00249,35-44,WA,2024-01-06,Individual
DNR-00250,45-54,MI,2025-03-02,Individual
DNR-00251,55-64,WA,2025-03-01,Individual
DNR-00252,45-54,IL,2021-07-22,Individual
DNR-00253,25-34,GA,2021-03-09,Individual
DNR-00254,25-34,WA,2022-04-29,Corporate
DNR-00255,65+,PA,2023-01-23,Individual
DNR-00256,25-34,CA,2021-05-05,Individual
DNR-00257,25-34,FL,2025-10-03,Individual
DNR-00258,65+,NY,2024-08-07,Individual
DNR-00259,65+,MI,2025-05-31,Individual
DNR-00260,55-64,FL,2022-02-25,Individual
DNR-00261,55-64,PA,2024-04-15,Individual
DNR-00262,65+,NY,2025-05-05,Individual
DNR-00263,25-34,TX,2022-07-22,Corporate
DNR-00264,25-34,WA,2024-01-12,Individual
DNR-00265,18-24,FL,2025-11-10,Individual
DNR-00266,25-34,NY,2024-04-20,Individual
DNR-00267,35-44,CO,2021-09-17,Individual
DNR-00268,55-64,NC,2021-05-11,Individual
DNR-00269,35-44,MI,2024-04-30,Individual
DNR-00270,65+,WA,2021-03-30,Individual
DNR-00271,45-54,NY,2023-12-04,Individual
DNR-00272,55-64,OH,2021-05-05,Major Donor
DNR-00273,45-54,GA,2024-11-06,Individual
DNR-00274,35-44,TX,2021-05-31,Corporate
DNR-00275,45-54,MI,2021-05-15,Individual
DNR-00276,35-44,MI,2024-01-29,Individual
DNR-00277,35-44,OH,2023-12-23,Individual
DNR-00278,25-34,WA,2021-07-23,Individual
DNR-00279,45-54,FL,2024-08-26,Corporate
DNR-00280,25-34,PA,2023-05-31,Individual
DNR-00281,35-44,CA,2025-08-22,Individual
DNR-00282,45-54,PA,2022-10-03,Individual
DNR-00283,35-44,CA,2021-11-09,Individual
DNR-00284,35-44,CO,2025-08-31,Individual
DNR-00285,25-34,NY,2025-02-22,Individual
DNR-00286,45-54,WA,2024-04-16,Foundation
DNR-00287,55-64,OH,2021-09-08,Individual
DNR-00288,18-24,IL,2025-11-13,Corporate
DNR-00289,25-34,NC,2024-05-14,Individual
DNR-00290,35-44,CA,2022-03-12,Individual
DNR-00291,35-44,IL,2022-12-19,Individual
DNR-00292,35-44,NC,2024-03-21,Individual
DNR-00293,45-54,WA,2025-04-21,Individual
DNR-00294,65+,CO,2024-02-15,Individual
DNR-00295,25-34,IL,2022-07-02,Individual
DNR-00296,25-34,TX,2022-11-27,Individual
DNR-00297,18-24,CO,2024-03-05,Individual
DNR-00298,25-34,NC,2024-07-20,Major Donor
DNR-00299,35-44,TX,2022-03-17,Individual
DNR-00300,35-44,MI,2023-01-28,Individual
DNR-00301,18-24,TX,2024-05-06,Individual
DNR-00302,45-54,IL,2025-03-26,Individual
DNR-00303,35-44,GA,2023-06-27,Individual
DNR-00304,55-64,CA,2023-04-29,Individual
DNR-00305,35-44,WA,2022-12-08,Individual
DNR-00306,45-54,NY,2024-04-29,Individual
DNR-00307,45-54,NY,2022-03-28,Individual
DNR-00308,25-34,TX,2022-02-23,Individual
DNR-00309,35-44,NY,2025-04-15,Individual
DNR-00310,25-34,OH,2023-10-16,Individual
DNR-00311,35-44,WA,2023-12-27,Individual
DNR-00312,35-44,CO,2025-07-10,Individual
DNR-00313,35-44,CA,2021-03-28,Individual
DNR-00314,35-44,OH,2025-11-01,Individual
DNR-00315,35-44,OH,2024-12-24,Individual
DNR-00316,25-34,MI,2021-02-12,Foundation
DNR-00317,65+,CA,2023-08-01,Individual
DNR-00318,25-34,MI,2023-06-14,Individual
DNR-00319,35-44,IL,2023-04-01,Individual
DNR-00320,35-44,TX,2025-03-08,Individual
DNR-00321,25-34,NC,2021-06-06,Individual
DNR-00322,35-44,CO,2022-02-02,Corporate
DNR-00323,25-34,CA,2025-08-05,Individual
DNR-00324,25-34,TX,2021-10-27,Individual
DNR-00325,18-24,WA,2025-04-06,Individual
DNR-00326,45-54,MI,2023-10-09,Individual
DNR-00327,55-64,WA,2023-07-09,Individual
DNR-00328,35-44,WA,2024-07-25,Major Donor
DNR-00329,18-24,GA,2022-10-10,Individual
DNR-00330,25-34,NY,2024-07-17,Individual
DNR-00331,35-44,GA,2022-12-22,Individual
DNR-00332,55-64,CA,2021-03-19,Individual
DNR-00333,55-64,MI,2024-08-13,Corporate
DNR-00334,35-44,NC,2024-05-01,Individual
DNR-00335,18-24,MI,2025-06-10,Individual
DNR-00336,45-54,NC,2024-08-27,Individual
DNR-00337,35-44,PA,2021-11-05,Foundation
DNR-00338,45-54,NY,2025-01-02,Individual
DNR-00339,65+,NC,2022-05-23,Individual
DNR-00340,35-44,IL,2023-12-07,Individual
DNR-00341,35-44,MI,2023-03-05,Individual
DNR-00342,45-54,CA,2021-04-18,Individual
DNR-00343,45-54,IL,2022-11-07,Individual
DNR-00344,45-54,MI,2022-06-01,Individual
DNR-00345,25-34,WA,2025-11-24,Individual
DNR-00346,35-44,WA,2021-10-17,Corporate
DNR-00347,25-34,CO,2024-12-01,Individual
DNR-00348,35-44,PA,2021-06-23,Individual
DNR-00349,45-54,CO,2025-07-24,Individual
DNR-00350,25-34,WA,2024-11-04,Corporate
DNR-00351,18-24,IL,2023-05-18,Individual
DNR-00352,35-44,GA,2022-01-05,Foundation
DNR-00353,25-34,CA,2022-01-29,Individual
DNR-00354,25-34,NC,2022-08-29,Individual
DNR-00355,35-44,WA,2025-09-07,Individual
DNR-00356,45-54,MI,2022-11-21,Corporate
DNR-00357,25-34,CO,2023-02-11,Individual
DNR-00358,65+,CO,2025-04-29,Individual
DNR-00359,35-44,CO,2023-06-16,Individual
DNR-00360,45-54,CO,2022-05-02,Foundation
DNR-00361,45-54,IL,2025-05-25,Individual
DNR-00362,65+,FL,2025-07-15,Individual
DNR-00363,45-54,GA,2023-01-24,Individual
DNR-00364,55-64,NC,2023-08-04,Individual
DNR-00365,25-34,FL,2023-12-17,Individual
DNR-00366,55-64,NY,2025-06-29,Individual
DNR-00367,35-44,CA,2024-08-06,Individual
DNR-00368,55-64,IL,2024-12-27,Individual
DNR-00369,25-34,NC,2021-06-21,Individual
DNR-00370,25-34,FL,2021-10-29,Individual
DNR-00371,35-44,NY,2025-07-31,Individual
DNR-00372,35-44,FL,2023-04-30,Individual
DNR-00373,35-44,NY,2023-03-02,Major Donor
DNR-00374,55-64,WA,2022-10-15,Foundation
DNR-00375,25-34,IL,2022-11-18,Individual
DNR-00376,55-64,CO,2025-08-27,Individual
DNR-00377,18-24,CA,2023-08-19,Individual
DNR-00378,55-64,NC,2021-02-08,Individual
DNR-00379,35-44,IL,2025-01-29,Individual
DNR-00380,18-24,OH,2022-05-02,Individual
DNR-00381,35-44,CA,2024-08-01,Individual
DNR-00382,45-54,NY,2025-09-10,Corporate
DNR-00383,25-34,TX,2024-07-18,Individual
DNR-00384,45-54,FL,2022-08-20,Individual
DNR-00385,45-54,CA,2024-03-14,Individual
DNR-00386,18-24,NC,2023-12-09,Major Donor
DNR-00387,65+,NC,2024-01-20,Individual
DNR-00388,35-44,WA,2021-02-11,Individual
DNR-00389,25-34,NY,2023-03-04,Major Donor
DNR-00390,35-44,CO,2023-01-02,Individual
DNR-00391,55-64,CO,2024-09-07,Individual
DNR-00392,18-24,NC,2025-03-30,Individual
DNR-00393,25-34,WA,2022-11-25,Individual
DNR-00394,35-44,TX,2023-08-10,Major Donor
DNR-00395,45-54,GA,2025-07-20,Individual
DNR-00396,18-24,FL,2021-03-17,Individual
DNR-00397,35-44,OH,2021-03-27,Individual
DNR-00398,25-34,WA,2025-07-28,Individual
DNR-00399,55-64,NY,2022-01-27,Individual
DNR-00400,25-34,PA,2025-11-09,Individual
DNR-00401,45-54,OH,2023-06-14,Corporate
DNR-00402,35-44,GA,2022-11-26,Major Donor
DNR-00403,35-44,CA,2023-01-23,Corporate
DNR-00404,35-44,TX,2025-01-29,Individual
DNR-00405,25-34,PA,2024-01-23,Individual
DNR-00406,35-44,CO,2024-09-15,Individual
DNR-00407,35-44,GA,2023-05-23,Individual
DNR-00408,65+,MI,2021-03-28,Individual
DNR-00409,65+,NY,2023-06-10,Individual
DNR-00410,35-44,NC,2021-06-03,Individual
DNR-00411,25-34,NY,2025-06-29,Individual
DNR-00412,45-54,GA,2021-10-20,Individual
DNR-00413,25-34,WA,2021-03-13,Individual
DNR-00414,65+,NY,2023-01-21,Individual
DNR-00415,35-44,PA,2024-05-24,Individual
DNR-00416,18-24,TX,2023-02-01,Individual
DNR-00417,35-44,IL,2023-12-21,Individual
DNR-00418,18-24,TX,2022-05-27,Foundation
DNR-00419,65+,CA,2023-10-20,Individual
DNR-00420,45-54,FL,2022-06-21,Individual
DNR-00421,65+,GA,2024-06-07,Individual
DNR-00422,55-64,GA,2022-02-14,Individual
DNR-00423,35-44,CA,2021-12-20,Corporate
DNR-00424,55-64,PA,2025-07-18,Individual
DNR-00425,18-24,NC,2024-09-29,Individual
DNR-00426,55-64,CO,2022-08-18,Corporate
DNR-00427,45-54,PA,2024-12-24,Corporate
DNR-00428,65+,TX,2023-11-08,Individual
DNR-00429,18-24,NC,2022-04-30,Individual
DNR-00430,55-64,NC,2024-03-18,Individual
DNR-00431,25-34,IL,2021-09-23,Individual
DNR-00432,45-54,NC,2023-03-27,Major Donor
DNR-00433,55-64,CA,2023-04-22,Individual
DNR-00434,45-54,GA,2021-09-14,Major Donor
DNR-00435,35-44,NC,2023-08-13,Individual
DNR-00436,55-64,TX,2024-08-03,Individual
DNR-00437,55-64,CA,2023-06-06,Individual
DNR-00438,25-34,PA,2023-11-28,Individual
DNR-00439,65+,NC,2024-12-23,Individual
DNR-00440,25-34,WA,2022-08-05,Individual
DNR-00441,45-54,MI,2024-02-03,Individual
DNR-00442,45-54,MI,2023-12-29,Individual
DNR-00443,45-54,CO,2024-04-04,Individual
DNR-00444,65+,NY,2024-05-24,Individual
DNR-00445,25-34,WA,2025-08-18,Corporate
DNR-00446,45-54,MI,2025-04-29,Individual
DNR-00447,18-24,WA,2023-05-04,Individual
DNR-00448,65+,GA,2024-01-23,Individual
DNR-00449,45-54,IL,2022-05-17,Individual
DNR-00450,18-24,GA,2023-07-18,Individual
DNR-00451,25-34,MI,2023-05-02,Individual
DNR-00452,45-54,CO,2021-10-22,Individual
DNR-00453,35-44,PA,2025-10-29,Individual
DNR-00454,35-44,GA,2023-11-21,Individual
DNR-00455,25-34,CA,2021-09-08,Individual
DNR-00456,35-44,MI,2021-04-14,Individual
DNR-00457,55-64,TX,2023-05-07,Individual
DNR-00458,45-54,PA,2025-07-25,Individual
DNR-00459,35-44,NC,2022-01-24,Individual
DNR-00460,35-44,NY,2023-08-15,Individual
DNR-00461,35-44,FL,2021-07-04,Foundation
DNR-00462,18-24,IL,2022-03-17,Individual
DNR-00463,55-64,WA,2023-10-11,Individual
DNR-00464,18-24,CA,2023-08-22,Individual
DNR-00465,25-34,PA,2023-06-02,Individual
DNR-00466,18-24,NY,2025-04-14,Individual
DNR-00467,35-44,IL,2024-03-13,Individual
DNR-00468,35-44,NC,2021-05-31,Individual
DNR-00469,45-54,MI,2022-07-27,Individual
DNR-00470,25-34,PA,2021-09-01,Individual
DNR-00471,45-54,PA,2025-06-16,Major Donor
DNR-00472,45-54,OH,2025-03-27,Individual
DNR-00473,18-24,CO,2023-10-22,Individual
DNR-00474,35-44,TX,2022-11-14,Individual
DNR-00475,25-34,MI,2024-05-26,Corporate
DNR-00476,65+,CO,2022-10-15,Individual
DNR-00477,35-44,NC,2025-09-22,Individual
DNR-00478,45-54,GA,2023-12-27,Individual
DNR-00479,35-44,CA,2025-07-29,Individual
DNR-00480,55-64,CO,2023-05-04,Individual
DNR-00481,18-24,GA,2025-11-22,Individual
DNR-00482,55-64,MI,2022-06-28,Foundation
DNR-00483,18-24,GA,2024-03-28,Individual
DNR-00484,45-54,OH,2021-12-16,Individual
DNR-00485,25-34,MI,2021-10-30,Individual
DNR-00486,18-24,PA,2024-12-05,Individual
DNR-00487,45-54,OH,2023-05-08,Individual
DNR-00488,65+,CO,2023-10-25,Individual
DNR-00489,25-34,FL,2025-01-29,Individual
DNR-00490,45-54,NC,2024-02-23,Individual
DNR-00491,25-34,NC,2023-02-11,Individual
DNR-00492,45-54,CO,2022-12-03,Individual
DNR-00493,45-54,MI,2024-10-26,Individual
DNR-00494,25-34,NC,2023-09-19,Individual
DNR-00495,65+,IL,2022-09-04,Individual
DNR-00496,25-34,CO,2025-04-29,Individual
DNR-00497,35-44,CO,2023-09-29,Individual
DNR-00498,45-54,NC,2022-07-15,Individual
DNR-00499,35-44,PA,2023-02-17,Corporate
DNR-00500,35-44,IL,2025-05-03,Individual
DNR-00501,65+,WA,2025-01-02,Individual
DNR-00502,25-34,NC,2022-06-10,Individual
DNR-00503,45-54,TX,2022-07-10,Foundation
DNR-00504,45-54,FL,2021-08-12,Individual
DNR-00505,45-54,WA,2021-04-14,Individual
DNR-00506,35-44,CO,2022-04-22,Individual
DNR-00507,55-64,NY,2023-08-26,Individual
DNR-00508,25-34,WA,2024-02-02,Major Donor
DNR-00509,25-34,IL,2023-09-02,Individual
DNR-00510,18-24,CA,2022-10-20,Individual
DNR-00511,45-54,CO,2024-08-28,Individual
DNR-00512,65+,TX,2025-10-08,Foundation
DNR-00513,25-34,NY,2023-05-06,Corporate
DNR-00514,35-44,CO,2025-09-09,Individual
DNR-00515,55-64,NY,2025-11-22,Corporate
DNR-00516,25-34,PA,2022-09-04,Individual
DNR-00517,45-54,NC,2022-08-06,Individual
DNR-00518,25-34,NC,2023-10-09,Corporate
DNR-00519,55-64,PA,2023-08-17,Individual
DNR-00520,45-54,CO,2021-11-29,Individual
DNR-00521,35-44,IL,2022-01-17,Individual
DNR-00522,25-34,MI,2024-03-08,Individual
DNR-00523,35-44,OH,2025-10-20,Individual
DNR-00524,35-44,CA,2023-11-22,Individual
DNR-00525,35-44,FL,2022-01-14,Major Donor
DNR-00526,25-34,IL,2021-01-14,Individual
DNR-00527,45-54,NY,2022-11-07,Individual
DNR-00528,45-54,NY,2022-06-20,Individual
DNR-00529,35-44,OH,2024-09-29,Individual
DNR-00530,55-64,CO,2024-11-06,Individual
DNR-00531,25-34,IL,2025-04-26,Individual
DNR-00532,25-34,TX,2023-01-23,Individual
DNR-00533,45-54,MI,2023-09-07,Individual
DNR-00534,45-54,GA,2023-02-05,Individual
DNR-00535,45-54,FL,2025-04-01,Individual
DNR-00536,55-64,CA,2025-04-10,Individual
DNR-00537,45-54,CA,2023-12-13,Individual
DNR-00538,55-64,NC,2024-03-01,Individual
DNR-00539,25-34,PA,2022-02-19,Individual
DNR-00540,25-34,FL,2025-10-16,Individual
DNR-00541,25-34,NC,2025-01-08,Individual
DNR-00542,35-44,NC,2023-07-02,Individual
DNR-00543,18-24,GA,2023-05-01,Individual
DNR-00544,45-54,OH,2024-10-09,Individual
DNR-00545,45-54,MI,2022-06-06,Individual
DNR-00546,35-44,CA,2021-05-30,Individual
DNR-00547,65+,CA,2024-01-14,Major Donor
DNR-00548,35-44,TX,2023-08-25,Individual
DNR-00549,45-54,OH,2025-04-18,Individual
DNR-00550,35-44,OH,2023-02-06,Major Donor
DNR-00551,65+,NC,2023-02-09,Individual
DNR-00552,35-44,TX,2021-09-30,Individual
DNR-00553,25-34,FL,2024-01-06,Individual
DNR-00554,18-24,IL,2025-09-06,Individual
DNR-00555,45-54,NC,2023-08-07,Individual
