donor_id,age_group,location,donor_type,donation_count,total_donations,average_donation,campaign_count,days_since_last_donation,days_since_first_donation,avg_days_between_donations,donations_last_30_days,revenue_last_30_days,donations_last_90_days,revenue_last_90_days,donations_last_365_days,revenue_last_365_days,donor_tenure_days,frequency_velocity_365d,monetary_velocity_365d,short_term_momentum,recency_tenure_ratio
DNR-00030,45-54,TX,Corporate,5.0,35794.4,7158.88,4.0,48.0,1424.0,344.0,0.0,0.0,1.0,8872.59,1.0,8872.59,1590,0.2,0.24787648347227498,2.0,0.03018867924528302
DNR-00031,25-34,PA,Individual,8.0,2381.72,297.715,8.0,399.0,1249.0,121.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1269,0.0,0.0,0.0,0.3144208037825059
DNR-00032,55-64,NC,Individual,10.0,2607.35,260.735,10.0,37.0,1391.0,150.44444444444446,0.0,0.0,1.0,24.78,5.0,444.3299999999999,1410,0.5,0.17041440543080136,0.6666666666666666,0.02624113475177305
DNR-00033,65+,NY,Individual,7.0,2194.68,313.5257142857143,7.0,115.0,823.0,118.0,0.0,0.0,0.0,0.0,3.0,1681.62,826,0.42857142857142855,0.7662256000874843,0.0,0.13922518159806296
DNR-00034,55-64,NY,Individual,8.0,359.67,44.95875,8.0,65.0,1553.0,212.57142857142858,0.0,0.0,1.0,52.79,2.0,105.84,1637,0.25,0.2942697472683293,1.3333333333333333,0.03970678069639585
DNR-00035,25-34,IL,Individual,7.0,420.11,60.01571428571429,7.0,1019.0,1694.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,1819,0.0,0.0,0.0,0.560197910940077
DNR-00036,45-54,OH,Individual,4.0,574.62,143.655,4.0,30.0,1448.0,472.6666666666667,1.0,198.53,1.0,198.53,1.0,198.53,1496,0.25,0.3454978942605548,2.0,0.020053475935828877
DNR-00037,18-24,CO,Individual,2.0,160.51999999999998,80.25999999999999,2.0,220.0,633.0,413.0,0.0,0.0,0.0,0.0,1.0,81.49,678,0.5,0.5076625965611762,0.0,0.32448377581120946
DNR-00038,55-64,MI,Individual,3.0,266.19,88.73,3.0,108.0,953.0,422.5,0.0,0.0,0.0,0.0,1.0,185.68,1521,0.3333333333333333,0.6975468650212254,0.0,0.07100591715976332
DNR-00039,25-34,IL,Individual,8.0,1018.62,127.3275,8.0,10.0,386.0,53.714285714285715,3.0,420.75,3.0,420.75,7.0,941.97,695,0.875,0.9247511338870237,1.5,0.014388489208633094
DNR-00040,55-64,NY,Corporate,6.0,30844.760000000002,5140.793333333334,6.0,32.0,967.0,187.0,0.0,0.0,2.0,10959.43,2.0,10959.43,1080,0.3333333333333333,0.35530929726799626,2.6666666666666665,0.02962962962962963
DNR-00041,25-34,CA,Individual,4.0,642.84,160.71,4.0,375.0,1091.0,238.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1094,0.0,0.0,0.0,0.34277879341864714
DNR-00042,55-64,OH,Individual,11.0,2676.87,243.35181818181817,11.0,43.0,888.0,84.5,0.0,0.0,1.0,409.76,4.0,1056.17,1102,0.36363636363636365,0.3945540874229978,0.8,0.03901996370235935
DNR-00043,65+,FL,Individual,2.0,464.5,232.25,2.0,122.0,150.0,28.0,0.0,0.0,0.0,0.0,2.0,464.5,555,1.0,1.0,0.0,0.21981981981981982
DNR-00044,55-64,TX,Individual,5.0,1188.29,237.658,5.0,22.0,52.0,7.5,1.0,50.83,5.0,1188.29,5.0,1188.29,56,1.0,1.0,3.3333333333333335,0.39285714285714285
DNR-00045,45-54,PA,Individual,6.0,1728.98,288.16333333333336,6.0,141.0,602.0,92.2,0.0,0.0,0.0,0.0,2.0,108.30000000000001,982,0.3333333333333333,0.06263808719591898,0.0,0.14358452138492872
DNR-00046,55-64,CO,Foundation,8.0,104996.12,13124.515,8.0,17.0,213.0,28.0,2.0,27050.64,3.0,41766.86,8.0,104996.12,224,1.0,1.0,1.3333333333333333,0.07589285714285714
DNR-00047,25-34,CO,Individual,4.0,300.47,75.1175,4.0,52.0,107.0,18.333333333333332,0.0,0.0,1.0,35.34,4.0,300.47,166,1.0,1.0,0.8,0.3132530120481928
DNR-00048,18-24,GA,Individual,3.0,238.32,79.44,3.0,239.0,1435.0,598.0,0.0,0.0,0.0,0.0,1.0,79.28,1605,0.3333333333333333,0.33266196710305473,0.0,0.14890965732087227
DNR-00049,65+,PA,Individual,4.0,706.51,176.6275,4.0,112.0,1218.0,368.6666666666667,0.0,0.0,0.0,0.0,2.0,311.34000000000003,1371,0.5,0.440673168108024,0.0,0.08169219547775347
DNR-00050,55-64,FL,Individual,8.0,684.09,85.51125,8.0,10.0,861.0,121.57142857142857,2.0,111.82000000000001,2.0,111.82000000000001,4.0,182.85,1201,0.5,0.26728939174669997,1.6,0.00832639467110741
DNR-00051,35-44,IL,Individual,2.0,829.27,414.635,2.0,84.0,579.0,495.0,0.0,0.0,1.0,79.06,1.0,79.06,1778,0.5,0.0953368625417536,2.0,0.047244094488188976
DNR-00052,55-64,PA,Individual,2.0,103.64,51.82,2.0,15.0,37.0,22.0,1.0,56.07,2.0,103.64,2.0,103.64,56,1.0,1.0,2.6666666666666665,0.26785714285714285
DNR-00053,45-54,NC,Individual,4.0,396.96,99.24,4.0,37.0,482.0,148.33333333333334,0.0,0.0,1.0,78.85,1.0,78.85,513,0.25,0.19863462313583233,2.0,0.07212475633528265
DNR-00054,25-34,IL,Foundation,3.0,35638.670000000006,11879.55666666667,3.0,45.0,712.0,333.5,0.0,0.0,1.0,1613.39,2.0,10653.26,1148,0.6666666666666666,0.2989241742186226,1.3333333333333333,0.039198606271777
DNR-00055,65+,NY,Individual,6.0,3073.8,512.3000000000001,6.0,194.0,1329.0,227.0,0.0,0.0,0.0,0.0,1.0,58.13,1461,0.16666666666666666,0.018911445116793546,0.0,0.1327857631759069
DNR-00056,35-44,PA,Individual,5.0,340.94,68.188,4.0,567.0,1256.0,172.25,0.0,0.0,0.0,0.0,0.0,0.0,1604,0.0,0.0,0.0,0.35349127182044887
DNR-00057,35-44,OH,Individual,4.0,641.4,160.35,4.0,516.0,890.0,124.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,933,0.0,0.0,0.0,0.5530546623794212
DNR-00058,18-24,OH,Individual,6.0,301.5,50.25,6.0,25.0,491.0,93.2,1.0,29.55,1.0,29.55,4.0,248.74,646,0.6666666666666666,0.8250082918739635,0.8,0.03869969040247678
DNR-00059,55-64,WA,Individual,3.0,118.71000000000001,39.57,3.0,14.0,1272.0,629.0,1.0,10.27,1.0,10.27,1.0,10.27,1823,0.3333333333333333,0.08651335186589167,2.0,0.007679648930334613
DNR-00060,45-54,FL,Foundation,10.0,71996.64,7199.664,10.0,17.0,313.0,32.888888888888886,1.0,1252.64,2.0,2738.0600000000004,10.0,71996.64,353,1.0,1.0,0.7272727272727273,0.04815864022662889
DNR-00061,65+,PA,Individual,3.0,1920.47,640.1566666666666,3.0,672.0,965.0,146.5,0.0,0.0,0.0,0.0,0.0,0.0,1081,0.0,0.0,0.0,0.6216466234967623
DNR-00062,55-64,CO,Individual,4.0,453.07,113.2675,4.0,134.0,399.0,88.33333333333333,0.0,0.0,0.0,0.0,2.0,359.98,550,0.5,0.7945350608073808,0.0,0.24363636363636362
DNR-00063,45-54,PA,Individual,4.0,173.98,43.495,4.0,273.0,885.0,204.0,0.0,0.0,0.0,0.0,1.0,48.37,1211,0.25,0.278020462122083,0.0,0.2254335260115607
DNR-00064,45-54,FL,Individual,6.0,950.4100000000001,158.40166666666667,6.0,38.0,994.0,191.2,0.0,0.0,1.0,53.09,2.0,91.57,1002,0.3333333333333333,0.09634789196241621,1.3333333333333333,0.03792415169660679
DNR-00065,35-44,CO,Individual,7.0,1951.37,278.76714285714286,7.0,228.0,932.0,117.33333333333333,0.0,0.0,0.0,0.0,2.0,1294.23,965,0.2857142857142857,0.6632417224821536,0.0,0.23626943005181347
DNR-00066,35-44,NC,Individual,4.0,1328.26,332.065,4.0,120.0,995.0,291.6666666666667,0.0,0.0,0.0,0.0,2.0,97.85,1470,0.5,0.07366780600183699,0.0,0.08163265306122448
DNR-00067,35-44,OH,Individual,4.0,278.84000000000003,69.71000000000001,4.0,2.0,53.0,17.0,2.0,158.74,4.0,278.84000000000003,4.0,278.84000000000003,119,1.0,1.0,3.2,0.01680672268907563
DNR-00068,45-54,GA,Individual,3.0,511.72,170.57333333333335,3.0,27.0,88.0,30.5,1.0,329.21,3.0,511.72,3.0,511.72,217,1.0,1.0,3.0,0.12442396313364056
DNR-00069,25-34,GA,Individual,5.0,458.22,91.644,5.0,368.0,910.0,135.5,0.0,0.0,0.0,0.0,0.0,0.0,922,0.0,0.0,0.0,0.39913232104121477
DNR-00070,55-64,TX,Corporate,6.0,38060.49,6343.415,6.0,31.0,168.0,27.4,0.0,0.0,3.0,16994.11,6.0,38060.490000000005,201,1.0,1.0000000000000002,1.7142857142857142,0.15422885572139303
DNR-00071,35-44,WA,Individual,4.0,190.69,47.6725,4.0,102.0,338.0,78.66666666666667,0.0,0.0,0.0,0.0,4.0,190.69,477,1.0,1.0,0.0,0.2138364779874214
DNR-00072,55-64,FL,Individual,4.0,2375.14,593.785,4.0,132.0,315.0,61.0,0.0,0.0,0.0,0.0,4.0,2375.14,558,1.0,1.0,0.0,0.23655913978494625
DNR-00073,55-64,TX,Individual,4.0,2474.85,618.7125,4.0,42.0,390.0,116.0,0.0,0.0,1.0,552.75,3.0,2394.92,449,0.75,0.9677030931167546,1.0,0.0935412026726058
DNR-00074,65+,MI,Individual,7.0,1482.72,211.81714285714287,6.0,298.0,1687.0,231.5,0.0,0.0,0.0,0.0,1.0,103.69,1776,0.14285714285714285,0.06993228660839537,0.0,0.1677927927927928
DNR-00075,35-44,WA,Individual,7.0,525.75,75.10714285714286,6.0,6.0,77.0,11.833333333333334,2.0,177.4,7.0,525.75,7.0,525.75,86,1.0,1.0,3.5,0.06976744186046512
DNR-00076,45-54,GA,Individual,5.0,1709.86,341.972,4.0,79.0,615.0,134.0,0.0,0.0,1.0,44.06,3.0,803.72,648,0.6,0.4700501795468635,1.0,0.12191358024691358
DNR-00077,45-54,NY,Individual,1.0,83.45,83.45,1.0,187.0,187.0,,0.0,0.0,0.0,0.0,1.0,83.45,1008,1.0,1.0,0.0,0.18551587301587302
DNR-00078,55-64,OH,Corporate,9.0,31289.25,3476.5833333333335,9.0,41.0,282.0,30.125,0.0,0.0,1.0,3138.19,9.0,31289.25,289,1.0,1.0,0.4,0.14186851211072665
DNR-00079,65+,NC,Individual,6.0,249.66000000000003,41.61000000000001,6.0,130.0,1196.0,213.2,0.0,0.0,0.0,0.0,3.0,160.23000000000002,1378,0.5,0.6417928382600336,0.0,0.09433962264150944
DNR-00080,25-34,CA,Individual,4.0,2086.92,521.73,4.0,65.0,714.0,216.33333333333334,0.0,0.0,1.0,52.84,2.0,1820.4099999999999,875,0.5,0.8722950568301611,1.3333333333333333,0.07428571428571429
DNR-00081,35-44,NC,Individual,5.0,439.40999999999997,87.88199999999999,5.0,4.0,817.0,203.25,1.0,84.22,2.0,273.45,3.0,329.54999999999995,892,0.6,0.74998293165836,2.0,0.004484304932735426
DNR-00082,65+,GA,Individual,2.0,2169.91,1084.955,2.0,49.0,163.0,114.0,0.0,0.0,1.0,19.56,2.0,2169.91,682,1.0,1.0,1.3333333333333333,0.0718475073313783
DNR-00083,55-64,OH,Individual,6.0,628.85,104.80833333333334,6.0,60.0,400.0,68.0,0.0,0.0,1.0,54.23,5.0,578.5500000000001,572,0.8333333333333334,0.9200127216347301,0.6666666666666666,0.1048951048951049
DNR-00084,35-44,TX,Corporate,3.0,17809.52,5936.506666666667,3.0,53.0,111.0,29.0,0.0,0.0,2.0,11323.76,3.0,17809.52,125,1.0,1.0,2.0,0.424
DNR-00085,35-44,FL,Corporate,1.0,890.01,890.01,1.0,123.0,123.0,,0.0,0.0,0.0,0.0,1.0,890.01,303,1.0,1.0,0.0,0.40594059405940597
DNR-00086,55-64,NC,Individual,4.0,201.16,50.29,3.0,0.0,97.0,32.333333333333336,2.0,133.9,3.0,189.11999999999998,4.0,201.15999999999997,106,1.0,0.9999999999999999,2.4,0.0
DNR-00087,25-34,CA,Individual,10.0,5795.2300000000005,579.523,10.0,28.0,811.0,87.0,1.0,2182.55,2.0,2469.76,5.0,4973.160000000001,834,0.5,0.8581471313476774,1.3333333333333333,0.03357314148681055
DNR-00088,25-34,PA,Individual,3.0,2215.45,738.4833333333332,3.0,153.0,331.0,89.0,0.0,0.0,0.0,0.0,3.0,2215.45,365,1.0,1.0,0.0,0.4191780821917808
DNR-00089,25-34,OH,Individual,7.0,2762.95,394.70714285714286,7.0,124.0,630.0,84.33333333333333,0.0,0.0,0.0,0.0,3.0,2392.0599999999995,720,0.42857142857142855,0.8657630431241968,0.0,0.17222222222222222
DNR-00090,25-34,OH,Individual,3.0,170.92000000000002,56.973333333333336,3.0,75.0,380.0,152.5,0.0,0.0,1.0,76.59,2.0,115.31,405,0.6666666666666666,0.6746431078867305,1.3333333333333333,0.18518518518518517
DNR-00091,35-44,NY,Individual,2.0,175.60000000000002,87.80000000000001,2.0,51.0,100.0,49.0,0.0,0.0,1.0,88.68,2.0,175.60000000000002,992,1.0,1.0,1.3333333333333333,0.05141129032258065
DNR-00092,35-44,MI,Individual,4.0,252.89999999999998,63.224999999999994,4.0,312.0,1093.0,260.3333333333333,0.0,0.0,0.0,0.0,2.0,158.78,1403,0.5,0.627837089758798,0.0,0.22238061297220243
DNR-00093,55-64,MI,Individual,6.0,1575.34,262.5566666666667,6.0,0.0,350.0,70.0,2.0,1311.48,2.0,1311.48,6.0,1575.3400000000001,402,1.0,1.0000000000000002,1.1428571428571428,0.0
DNR-00094,65+,IL,Individual,5.0,1043.27,208.654,5.0,11.0,577.0,141.5,1.0,86.39,1.0,86.39,3.0,966.7900000000001,1047,0.6,0.9266920356187757,1.0,0.010506208213944603
DNR-00095,55-64,OH,Individual,6.0,1430.8600000000001,238.4766666666667,6.0,3.0,223.0,44.0,1.0,798.46,1.0,798.46,6.0,1430.8600000000001,283,1.0,1.0,0.5714285714285714,0.01060070671378092
DNR-00096,45-54,MI,Individual,6.0,2642.43,440.405,6.0,56.0,710.0,130.8,0.0,0.0,1.0,45.9,3.0,150.75,724,0.5,0.05704976101542898,1.0,0.07734806629834254
DNR-00097,25-34,GA,Individual,4.0,592.73,148.1825,4.0,286.0,1287.0,333.6666666666667,0.0,0.0,0.0,0.0,1.0,32.84,1375,0.25,0.05540465304607495,0.0,0.208
DNR-00098,45-54,OH,Individual,6.0,1062.61,177.10166666666666,5.0,122.0,1756.0,326.8,0.0,0.0,0.0,0.0,1.0,224.03,1767,0.16666666666666666,0.2108299376064596,0.0,0.0690435766836446
DNR-00099,35-44,TX,Individual,4.0,1912.71,478.1775,4.0,60.0,332.0,90.66666666666667,0.0,0.0,1.0,1740.08,4.0,1912.71,343,1.0,1.0,0.8,0.1749271137026239
DNR-00100,65+,MI,Individual,6.0,307.44,51.24,6.0,96.0,537.0,88.2,0.0,0.0,0.0,0.0,3.0,121.3,552,0.5,0.39454852979443145,0.0,0.17391304347826086
DNR-00101,25-34,OH,Individual,8.0,1102.71,137.83875,8.0,73.0,667.0,84.85714285714286,0.0,0.0,1.0,84.98,2.0,98.5,671,0.25,0.0893253892682573,1.3333333333333333,0.10879284649776454
DNR-00102,25-34,IL,Corporate,8.0,34824.99,4353.12375,8.0,36.0,1440.0,200.57142857142858,0.0,0.0,1.0,3587.83,2.0,11172.08,1549,0.25,0.32080640942036165,1.3333333333333333,0.023240800516462233
DNR-00103,35-44,PA,Individual,4.0,622.25,155.5625,4.0,491.0,1028.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0.0,0.0,0.0,0.4676190476190476
DNR-00104,25-34,OH,Corporate,4.0,25288.35,6322.0875,4.0,52.0,261.0,69.66666666666667,0.0,0.0,1.0,8760.98,4.0,25288.350000000002,268,1.0,1.0000000000000002,0.8,0.19402985074626866
DNR-00105,35-44,CO,Individual,6.0,596.35,99.39166666666667,6.0,91.0,1250.0,231.8,0.0,0.0,0.0,0.0,1.0,97.85,1310,0.16666666666666666,0.16408149576590927,0.0,0.06946564885496183
DNR-00106,65+,FL,Individual,5.0,1407.27,281.454,5.0,132.0,704.0,143.0,0.0,0.0,0.0,0.0,3.0,744.4499999999999,722,0.6,0.5290029631840372,0.0,0.18282548476454294
DNR-00107,65+,NY,Individual,5.0,2470.21,494.04200000000003,5.0,141.0,391.0,62.5,0.0,0.0,0.0,0.0,4.0,2399.1,495,0.8,0.9712129737957501,0.0,0.28484848484848485
DNR-00108,25-34,NY,Individual,8.0,516.3100000000001,64.53875000000001,7.0,46.0,281.0,33.57142857142857,0.0,0.0,3.0,187.17000000000002,8.0,516.31,282,1.0,0.9999999999999998,1.3333333333333333,0.16312056737588654
DNR-00109,25-34,WA,Individual,6.0,3297.8,549.6333333333333,6.0,23.0,477.0,90.8,1.0,2384.34,2.0,2471.9,4.0,2786.2400000000002,554,0.6666666666666666,0.8448784037843411,1.6,0.04151624548736462
DNR-00110,25-34,CO,Individual,4.0,1895.54,473.885,4.0,162.0,1238.0,358.6666666666667,0.0,0.0,0.0,0.0,2.0,1770.9399999999998,1592,0.5,0.9342667524821422,0.0,0.10175879396984924
DNR-00111,25-34,MI,Individual,1.0,42.65,42.65,1.0,403.0,403.0,,0.0,0.0,0.0,0.0,0.0,0.0,1302,0.0,0.0,0.0,0.30952380952380953
DNR-00112,55-64,TX,Individual,6.0,4452.87,742.145,6.0,21.0,283.0,52.4,1.0,104.8,1.0,104.8,6.0,4452.870000000001,295,1.0,1.0000000000000002,0.5714285714285714,0.0711864406779661
DNR-00113,18-24,IL,Individual,3.0,1973.96,657.9866666666667,3.0,3.0,1050.0,523.5,1.0,64.21,1.0,64.21,2.0,1648.53,1189,0.6666666666666666,0.835138503313137,1.3333333333333333,0.002523128679562658
DNR-00114,65+,OH,Individual,8.0,2719.79,339.97375,8.0,114.0,570.0,65.14285714285714,0.0,0.0,0.0,0.0,4.0,1827.24,647,0.5,0.6718312810915549,0.0,0.17619783616692428
DNR-00115,45-54,WA,Individual,1.0,70.18,70.18,1.0,299.0,299.0,,0.0,0.0,0.0,0.0,1.0,70.18,362,1.0,1.0,0.0,0.8259668508287292
DNR-00116,55-64,WA,Individual,4.0,3315.08,828.77,4.0,198.0,911.0,237.66666666666666,0.0,0.0,0.0,0.0,1.0,119.74,1329,0.25,0.036119791980887335,0.0,0.1489841986455982
DNR-00117,55-64,MI,Individual,5.0,2426.7200000000003,485.34400000000005,5.0,20.0,453.0,108.25,1.0,67.3,1.0,67.3,4.0,689.33,597,0.8,0.28405831739961757,0.8,0.03350083752093802
DNR-00118,45-54,WA,Individual,7.0,2861.09,408.7271428571429,6.0,57.0,224.0,27.833333333333332,0.0,0.0,3.0,395.86,7.0,2861.09,224,1.0,1.0,1.5,0.2544642857142857
DNR-00119,45-54,NY,Individual,7.0,1187.49,169.64142857142858,7.0,97.0,1052.0,159.16666666666666,0.0,0.0,0.0,0.0,3.0,506.15,1068,0.42857142857142855,0.42623516829615404,0.0,0.09082397003745318
DNR-00120,35-44,OH,Individual,2.0,333.07,166.535,2.0,69.0,80.0,11.0,0.0,0.0,2.0,333.07,2.0,333.07,87,1.0,1.0,2.6666666666666665,0.7931034482758621
DNR-00121,55-64,CO,Individual,3.0,195.83,65.27666666666667,3.0,534.0,1008.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,1085,0.0,0.0,0.0,0.49216589861751153
DNR-00122,45-54,WA,Individual,7.0,1005.8,143.68571428571428,7.0,199.0,1116.0,152.83333333333334,0.0,0.0,0.0,0.0,1.0,35.82,1513,0.14285714285714285,0.0356134420361901,0.0,0.13152676801057503
DNR-00123,65+,GA,Individual,5.0,1058.82,211.76399999999998,5.0,1.0,1158.0,289.25,2.0,498.15999999999997,2.0,498.15999999999997,3.0,748.65,1273,0.6,0.7070606902023007,2.0,0.0007855459544383347
DNR-00124,45-54,IL,Individual,5.0,934.3199999999999,186.86399999999998,5.0,56.0,799.0,185.75,0.0,0.0,2.0,151.43,2.0,151.43,874,0.4,0.16207509204555187,2.6666666666666665,0.06407322654462243
DNR-00125,55-64,CA,Corporate,7.0,41903.05,5986.150000000001,7.0,3.0,1161.0,193.0,1.0,3089.07,1.0,3089.07,2.0,4817.64,1166,0.2857142857142857,0.11497110592188396,1.3333333333333333,0.002572898799313894
DNR-00126,25-34,GA,Corporate,5.0,19053.37,3810.674,5.0,36.0,1132.0,274.0,0.0,0.0,1.0,3415.62,1.0,3415.62,1255,0.2,0.17926592513555345,2.0,0.028685258964143426
DNR-00127,35-44,NY,Individual,6.0,2961.76,493.6266666666667,6.0,20.0,574.0,110.8,1.0,168.9,1.0,168.9,2.0,2513.36,659,0.3333333333333333,0.8486035330344119,1.3333333333333333,0.030349013657056147
DNR-00128,25-34,FL,Corporate,7.0,36555.09,5222.155714285714,7.0,73.0,705.0,105.33333333333333,0.0,0.0,1.0,8660.2,4.0,18162.11,814,0.5714285714285714,0.49684216343059207,0.8,0.08968058968058969
DNR-00129,35-44,MI,Individual,4.0,1803.75,450.9375,4.0,77.0,907.0,276.6666666666667,0.0,0.0,1.0,33.81,2.0,50.21,1100,0.5,0.027836451836451837,1.3333333333333333,0.07
