donation_id,donor_id,donation_date,amount,campaign_id
DON-000039,DNR-08035,2024-09-01,173.02,CMP-0080
DON-000040,DNR-03444,2024-08-02,29.53,CMP-0097
DON-000041,DNR-03756,2025-01-30,1413.61,CMP-0094
DON-000042,DNR-02183,2025-08-27,96.71,CMP-0078
DON-000043,DNR-06853,2025-07-10,174.84,CMP-0045
DON-000044,DNR-01962,2025-10-25,44.14,CMP-0063
DON-000045,DNR-07226,2023-07-16,27.43,CMP-0081
DON-000046,DNR-04119,2025-11-27,88.95,CMP-0086
DON-000047,DNR-06270,2025-10-30,54.7,CMP-0047
DON-000048,DNR-05841,2025-05-19,6967.03,CMP-0004
DON-000049,DNR-05835,2023-05-07,61.1,CMP-0025
DON-000050,DNR-01074,2025-06-13,12.73,CMP-0073
DON-000051,DNR-05921,2025-10-25,28.86,CMP-0030
DON-000052,DNR-07653,2024-02-09,461.82,CMP-0014
DON-000053,DNR-02133,2025-11-21,27.35,CMP-0036
DON-000054,DNR-01404,2025-11-21,14.65,CMP-0099
DON-000055,DNR-02620,2025-04-04,17567.89,CMP-0086
DON-000056,DNR-06114,2025-08-07,6569.56,CMP-0090
DON-000057,DNR-00440,2025-07-16,58.97,CMP-0003
DON-000058,DNR-00005,2024-09-09,23.57,CMP-0004
DON-000059,DNR-09188,2025-08-06,24.1,CMP-0097
DON-000060,DNR-01987,2024-02-27,77.73,CMP-0036
DON-000061,DNR-05689,2023-12-11,99.64,CMP-0090
DON-000062,DNR-05298,2025-05-06,152.56,CMP-0027
DON-000063,DNR-01236,2024-05-07,462.77,CMP-0080
DON-000064,DNR-08456,2025-08-31,729.98,CMP-0047
DON-000065,DNR-07299,2025-06-06,25.06,CMP-0002
DON-000066,DNR-09025,2024-09-09,81.49,CMP-0001
DON-000067,DNR-09913,2024-02-17,1429.71,CMP-0002
DON-000068,DNR-02774,2025-11-23,148.71,CMP-0029
DON-000069,DNR-00394,2023-09-27,23575.84,CMP-0081
DON-000070,DNR-08950,2023-07-23,41.46,CMP-0090
DON-000071,DNR-07940,2025-01-02,58.71,CMP-0001
DON-000072,DNR-09629,2023-07-13,18.73,CMP-0043
DON-000073,DNR-00707,2024-11-22,91.79,CMP-0023
DON-000074,DNR-04065,2023-06-09,36.21,CMP-0051
DON-000075,DNR-02097,2024-07-08,48.63,CMP-0044
DON-000076,DNR-01711,2024-12-25,215.21,CMP-0089
DON-000077,DNR-02201,2021-03-26,8403.15,CMP-0029
DON-000078,DNR-09068,2025-05-18,229.58,CMP-0006
DON-000079,DNR-04248,2025-04-02,53.83,CMP-0050
DON-000080,DNR-04273,2025-09-16,1709.55,CMP-0026
DON-000081,DNR-09405,2023-05-26,80.57,CMP-0092
DON-000082,DNR-06188,2023-11-03,13.02,CMP-0072
DON-000083,DNR-09171,2024-12-02,76.22,CMP-0090
DON-000084,DNR-05897,2024-06-06,34.37,CMP-0010
DON-000085,DNR-01410,2024-12-21,82.99,CMP-0056
DON-000086,DNR-07500,2025-10-21,48.59,CMP-0012
DON-000087,DNR-08258,2025-11-12,68.78,CMP-0058
DON-000088,DNR-08815,2025-08-02,186.65,CMP-0061
DON-000089,DNR-00859,2023-12-08,1057.48,CMP-0028
DON-000090,DNR-01795,2025-01-12,242.55,CMP-0086
DON-000091,DNR-09792,2025-12-15,2352.6,CMP-0034
DON-000092,DNR-04045,2023-08-21,34.34,CMP-0001
DON-000093,DNR-04797,2022-08-01,63.03,CMP-0050
DON-000094,DNR-05646,2025-02-24,435.2,CMP-0048
DON-000095,DNR-06454,2025-09-11,98.72,CMP-0090
DON-000096,DNR-09659,2025-09-23,433.47,CMP-0100
DON-000097,DNR-03614,2025-06-15,1950.53,CMP-0061
DON-000098,DNR-03414,2024-02-23,147.12,CMP-0047
DON-000099,DNR-06380,2025-10-14,26.61,CMP-0010
DON-000100,DNR-02529,2022-10-17,59.73,CMP-0044
DON-000101,DNR-07502,2025-09-20,61.85,CMP-0076
DON-000102,DNR-01887,2024-12-18,73.51,CMP-0024
DON-000103,DNR-05578,2025-02-19,10.62,CMP-0070
DON-000104,DNR-00014,2024-08-10,424.48,CMP-0028
DON-000105,DNR-06673,2024-09-29,72.8,CMP-0027
DON-000106,DNR-00506,2023-06-10,207.47,CMP-0032
DON-000107,DNR-06647,2024-11-14,21.25,CMP-0066
DON-000108,DNR-05295,2025-11-14,18574.63,CMP-0069
DON-000109,DNR-04374,2025-08-12,340.83,CMP-0057
DON-000110,DNR-07229,2023-03-14,420.51,CMP-0055
DON-000111,DNR-00721,2023-04-10,94.48,CMP-0013
DON-000112,DNR-04555,2025-12-06,88.47,CMP-0005
DON-000113,DNR-00834,2025-11-19,63.21,CMP-0094
DON-000114,DNR-07999,2024-01-10,213.48,CMP-0050
DON-000115,DNR-09173,2023-09-08,75.54,CMP-0049
DON-000116,DNR-03906,2024-08-29,283.37,CMP-0024
DON-000117,DNR-01300,2025-08-20,383.15,CMP-0039
DON-000118,DNR-00102,2025-11-26,3587.83,CMP-0048
DON-000119,DNR-08219,2025-06-30,11297.98,CMP-0068
DON-000120,DNR-02446,2025-02-05,7722.97,CMP-0093
DON-000121,DNR-08184,2023-04-11,1137.15,CMP-0022
DON-000122,DNR-08013,2025-08-19,31.05,CMP-0009
DON-000123,DNR-04108,2023-02-17,7395.03,CMP-0078
DON-000124,DNR-08244,2025-04-07,47.64,CMP-0091
DON-000125,DNR-04231,2025-06-12,17.39,CMP-0021
DON-000126,DNR-02235,2025-02-02,330.5,CMP-0075
DON-000127,DNR-08588,2024-06-25,60.69,CMP-0004
DON-000128,DNR-00235,2025-12-29,35687.14,CMP-0016
DON-000129,DNR-03468,2024-02-07,6787.26,CMP-0001
DON-000130,DNR-04743,2025-04-08,56.03,CMP-0100
DON-000131,DNR-05753,2025-02-03,81.56,CMP-0010
DON-000132,DNR-05954,2025-04-02,76.07,CMP-0060
DON-000133,DNR-06224,2025-01-22,38.41,CMP-0071
DON-000134,DNR-09652,2025-04-02,5978.94,CMP-0013
DON-000135,DNR-06585,2025-03-27,224.05,CMP-0057
DON-000136,DNR-06565,2023-11-25,2138.48,CMP-0058
DON-000137,DNR-06546,2024-10-30,387.83,CMP-0050
DON-000138,DNR-06568,2023-02-27,45.46,CMP-0072
DON-000139,DNR-05781,2024-02-09,70.41,CMP-0044
DON-000140,DNR-02289,2025-11-17,8460.43,CMP-0042
DON-000141,DNR-03032,2024-03-25,15.58,CMP-0074
DON-000142,DNR-08803,2025-04-02,22.09,CMP-0072
DON-000143,DNR-08213,2025-09-12,1436.04,CMP-0039
DON-000144,DNR-04520,2022-01-06,2082.81,CMP-0056
DON-000145,DNR-01262,2025-07-06,13.65,CMP-0078
DON-000146,DNR-02789,2025-10-03,286.97,CMP-0087
DON-000147,DNR-03804,2025-09-05,71.7,CMP-0005
DON-000148,DNR-01011,2024-02-27,155.88,CMP-0054
DON-000149,DNR-07075,2025-05-12,32.12,CMP-0012
DON-000150,DNR-04210,2024-02-15,18.01,CMP-0090
DON-000151,DNR-03112,2025-02-26,11.78,CMP-0011
DON-000152,DNR-01778,2024-03-07,20223.31,CMP-0066
DON-000153,DNR-04307,2025-11-22,41.83,CMP-0065
DON-000154,DNR-08713,2025-11-26,54.83,CMP-0048
DON-000155,DNR-02187,2025-06-12,23.81,CMP-0051
DON-000156,DNR-01710,2025-05-07,27.36,CMP-0078
DON-000157,DNR-07496,2022-08-31,3791.2,CMP-0091
DON-000158,DNR-08574,2023-08-28,94.37,CMP-0074
DON-000159,DNR-08950,2022-04-22,51.06,CMP-0012
DON-000160,DNR-03958,2024-09-06,45.77,CMP-0055
DON-000161,DNR-07079,2024-04-27,28.3,CMP-0070
DON-000162,DNR-09424,2025-09-29,397.82,CMP-0056
DON-000163,DNR-04102,2025-10-26,12135.41,CMP-0069
DON-000164,DNR-02308,2024-06-04,1274.15,CMP-0006
DON-000165,DNR-02010,2025-02-05,62.48,CMP-0015
DON-000166,DNR-07081,2023-05-04,48.21,CMP-0078
DON-000167,DNR-05023,2025-06-24,73.33,CMP-0022
DON-000168,DNR-09698,2022-04-22,89.68,CMP-0069
DON-000169,DNR-04653,2025-03-23,87.4,CMP-0015
DON-000170,DNR-07951,2025-12-02,30518.1,CMP-0025
DON-000171,DNR-07113,2024-10-06,85.46,CMP-0007
DON-000172,DNR-01483,2025-11-28,152.45,CMP-0064
DON-000173,DNR-01263,2024-12-15,371.87,CMP-0080
DON-000174,DNR-05126,2025-06-16,445.55,CMP-0002
DON-000175,DNR-03079,2025-11-30,92.36,CMP-0016
DON-000176,DNR-05986,2023-03-16,67.05,CMP-0046
DON-000177,DNR-06271,2024-02-19,426.2,CMP-0093
DON-000178,DNR-04435,2024-08-16,23.55,CMP-0013
DON-000179,DNR-06402,2024-03-31,29.54,CMP-0031
DON-000180,DNR-09858,2025-06-17,1205.61,CMP-0067
DON-000181,DNR-02551,2025-09-05,21.83,CMP-0017
DON-000182,DNR-05293,2023-01-05,18.22,CMP-0036
DON-000183,DNR-00238,2024-04-14,2287.7,CMP-0064
DON-000184,DNR-05143,2025-01-11,1690.6,CMP-0068
DON-000185,DNR-04651,2023-04-08,90.46,CMP-0008
DON-000186,DNR-02313,2023-04-26,5527.59,CMP-0025
DON-000187,DNR-05678,2022-01-21,12708.62,CMP-0048
DON-000188,DNR-00238,2025-10-04,23914.31,CMP-0077
DON-000189,DNR-03480,2023-05-19,1530.98,CMP-0075
DON-000190,DNR-09258,2025-07-16,3661.07,CMP-0034
DON-000191,DNR-04421,2022-07-31,80.9,CMP-0012
DON-000192,DNR-00395,2025-12-25,53.58,CMP-0086
DON-000193,DNR-09131,2025-11-20,39.57,CMP-0089
DON-000194,DNR-03958,2024-02-15,295.59,CMP-0081
DON-000195,DNR-03615,2024-06-02,40.88,CMP-0057
DON-000196,DNR-06519,2021-08-10,49.94,CMP-0061
DON-000197,DNR-03691,2024-07-22,60.17,CMP-0014
DON-000198,DNR-04721,2025-11-29,859.45,CMP-0050
DON-000199,DNR-06657,2023-06-30,90.22,CMP-0032
DON-000200,DNR-09505,2024-04-25,330.84,CMP-0017
DON-000201,DNR-09949,2025-04-10,73.7,CMP-0018
DON-000202,DNR-01131,2024-09-13,2412.86,CMP-0083
DON-000203,DNR-01610,2025-07-06,44523.36,CMP-0029
DON-000204,DNR-04089,2025-10-09,24.18,CMP-0080
DON-000205,DNR-08841,2025-12-30,33091.62,CMP-0043
DON-000206,DNR-08262,2022-05-04,44852.83,CMP-0058
DON-000207,DNR-07753,2025-05-18,89.61,CMP-0073
DON-000208,DNR-01145,2025-11-23,87.84,CMP-0006
DON-000209,DNR-03622,2025-07-09,23055.01,CMP-0089
DON-000210,DNR-09839,2021-11-02,49.74,CMP-0077
DON-000211,DNR-03972,2025-01-12,42.64,CMP-0060
DON-000212,DNR-01435,2023-08-25,133.71,CMP-0095
DON-000213,DNR-01468,2024-04-05,873.95,CMP-0023
DON-000214,DNR-00551,2025-04-20,388.66,CMP-0042
DON-000215,DNR-09799,2024-03-02,74.54,CMP-0033
DON-000216,DNR-03107,2023-08-23,29.4,CMP-0035
DON-000217,DNR-04754,2025-05-21,6046.37,CMP-0021
DON-000218,DNR-09232,2025-02-25,32.76,CMP-0021
DON-000219,DNR-00123,2022-10-31,23.52,CMP-0057
DON-000220,DNR-06521,2025-11-07,24.15,CMP-0066
DON-000221,DNR-00770,2025-09-12,89.43,CMP-0058
DON-000222,DNR-08936,2023-11-27,19.58,CMP-0078
DON-000223,DNR-03577,2025-07-16,43.49,CMP-0006
DON-000224,DNR-00234,2025-04-02,90.96,CMP-0086
DON-000225,DNR-06931,2024-08-26,22.65,CMP-0066
DON-000226,DNR-06949,2025-02-06,2363.65,CMP-0043
DON-000227,DNR-04648,2025-10-25,47.19,CMP-0062
DON-000228,DNR-02715,2025-04-30,96.75,CMP-0084
DON-000229,DNR-00456,2022-08-21,82.31,CMP-0082
DON-000230,DNR-03549,2022-05-05,35.83,CMP-0049
DON-000231,DNR-05796,2026-01-01,404.29,CMP-0053
DON-000232,DNR-08657,2024-01-16,2042.45,CMP-0043
DON-000233,DNR-04861,2025-09-08,28.06,CMP-0016
DON-000234,DNR-07628,2025-08-08,38.22,CMP-0097
DON-000235,DNR-01114,2025-12-17,80.88,CMP-0064
DON-000236,DNR-06487,2025-09-22,42.31,CMP-0073
DON-000237,DNR-05914,2025-11-19,81.02,CMP-0002
DON-000238,DNR-00685,2024-11-17,279.08,CMP-0041
DON-000239,DNR-02515,2022-12-05,45.56,CMP-0035
DON-000240,DNR-08452,2025-07-11,16298.26,CMP-0012
DON-000241,DNR-00143,2025-03-02,97.37,CMP-0017
DON-000242,DNR-05343,2023-04-02,235.4,CMP-0062
DON-000243,DNR-09632,2024-11-08,179.18,CMP-0083
DON-000244,DNR-02138,2025-06-13,47.19,CMP-0035
DON-000245,DNR-01149,2024-05-27,48.67,CMP-0028
DON-000246,DNR-00941,2025-08-23,15851.86,CMP-0061
DON-000247,DNR-00758,2025-09-18,81.11,CMP-0020
DON-000248,DNR-02932,2024-05-21,20.97,CMP-0080
DON-000249,DNR-03282,2024-06-13,23.37,CMP-0086
DON-000250,DNR-03117,2025-03-29,64.66,CMP-0048
DON-000251,DNR-00540,2025-10-27,369.48,CMP-0040
DON-000252,DNR-09303,2025-01-05,322.8,CMP-0004
DON-000253,DNR-07551,2025-12-31,68.18,CMP-0076
DON-000254,DNR-05381,2025-11-07,92.9,CMP-0060
DON-000255,DNR-08823,2024-02-11,69.06,CMP-0097
DON-000256,DNR-08173,2025-04-04,11989.78,CMP-0080
DON-000257,DNR-00394,2023-09-30,47666.99,CMP-0057
DON-000258,DNR-08287,2023-02-04,45.93,CMP-0051
DON-000259,DNR-06182,2025-05-13,29.98,CMP-0088
DON-000260,DNR-00080,2025-07-06,1767.57,CMP-0027
DON-000261,DNR-08488,2024-01-07,89.09,CMP-0096
DON-000262,DNR-05833,2024-06-26,40.19,CMP-0024
DON-000263,DNR-05476,2025-11-19,52.91,CMP-0024
DON-000264,DNR-06177,2025-10-13,86.52,CMP-0027
DON-000265,DNR-02339,2023-10-17,83.32,CMP-0063
DON-000266,DNR-04015,2025-06-09,452.79,CMP-0070
DON-000267,DNR-09925,2024-09-26,14.94,CMP-0088
DON-000268,DNR-04432,2024-07-31,80.29,CMP-0088
DON-000269,DNR-03948,2023-02-11,88.77,CMP-0056
DON-000270,DNR-06819,2025-01-16,41.81,CMP-0039
DON-000271,DNR-09823,2025-09-01,134.77,CMP-0007
DON-000272,DNR-06201,2025-04-16,55.19,CMP-0071
DON-000273,DNR-06327,2025-12-08,1732.15,CMP-0022
DON-000274,DNR-04454,2023-03-11,98.65,CMP-0003
DON-000275,DNR-04028,2025-09-06,23443.38,CMP-0098
DON-000276,DNR-05902,2022-02-01,48.45,CMP-0091
DON-000277,DNR-05309,2025-11-30,191.82,CMP-0039
DON-000278,DNR-04475,2023-04-17,490.01,CMP-0030
DON-000279,DNR-03856,2024-01-11,59.0,CMP-0016
DON-000280,DNR-06473,2025-09-08,207.14,CMP-0054
DON-000281,DNR-09595,2024-05-24,40713.8,CMP-0083
DON-000282,DNR-03334,2024-09-29,1704.94,CMP-0032
DON-000283,DNR-09993,2025-10-31,20369.27,CMP-0012
DON-000284,DNR-02585,2022-12-17,555.61,CMP-0050
DON-000285,DNR-03524,2023-05-11,26305.78,CMP-0047
DON-000286,DNR-02956,2023-07-05,23.8,CMP-0075
DON-000287,DNR-01629,2025-05-08,16.59,CMP-0025
DON-000288,DNR-03971,2024-12-17,6553.02,CMP-0088
DON-000289,DNR-03553,2025-08-30,79.12,CMP-0076
DON-000290,DNR-09066,2024-07-09,53.65,CMP-0024
DON-000291,DNR-04005,2024-07-30,5718.01,CMP-0055
DON-000292,DNR-07929,2025-06-26,20.12,CMP-0080
DON-000293,DNR-05697,2025-01-06,672.59,CMP-0032
DON-000294,DNR-01601,2025-01-03,294.38,CMP-0041
DON-000295,DNR-06535,2025-04-17,10.51,CMP-0014
DON-000296,DNR-09533,2024-06-20,1252.44,CMP-0044
DON-000297,DNR-03483,2023-05-06,2199.87,CMP-0068
DON-000298,DNR-03907,2023-05-30,2068.32,CMP-0066
DON-000299,DNR-07881,2025-11-10,16.55,CMP-0037
DON-000300,DNR-08075,2024-10-02,20.37,CMP-0060
DON-000301,DNR-00960,2025-12-02,22.0,CMP-0019
DON-000302,DNR-08734,2024-05-31,437.51,CMP-0007
DON-000303,DNR-00764,2025-12-18,99.21,CMP-0093
DON-000304,DNR-08515,2024-06-06,43399.76,CMP-0070
DON-000305,DNR-03312,2024-02-12,6457.44,CMP-0073
DON-000306,DNR-01869,2024-03-08,167.09,CMP-0049
DON-000307,DNR-00207,2025-10-15,64.03,CMP-0091
DON-000308,DNR-03518,2025-04-18,16.85,CMP-0030
DON-000309,DNR-02275,2024-04-03,50.58,CMP-0021
DON-000310,DNR-05914,2025-04-12,13.86,CMP-0021
DON-000311,DNR-01447,2023-05-17,49.3,CMP-0073
DON-000312,DNR-05675,2026-01-01,57.62,CMP-0096
DON-000313,DNR-03525,2025-12-05,297.64,CMP-0004
DON-000314,DNR-01664,2022-04-21,55.5,CMP-0015
DON-000315,DNR-07095,2025-06-28,396.79,CMP-0053
DON-000316,DNR-02224,2024-07-01,18.63,CMP-0025
DON-000317,DNR-08310,2025-10-17,401.6,CMP-0056
DON-000318,DNR-07249,2024-06-06,168.25,CMP-0006
DON-000319,DNR-09395,2024-12-11,1294.86,CMP-0088
DON-000320,DNR-05538,2023-11-27,12.08,CMP-0087
DON-000321,DNR-00196,2024-12-16,131.04,CMP-0067
DON-000322,DNR-04605,2025-08-15,69.83,CMP-0004
DON-000323,DNR-07330,2024-06-08,101.05,CMP-0034
DON-000324,DNR-08222,2025-07-22,36.21,CMP-0063
DON-000325,DNR-07317,2023-04-23,54.69,CMP-0033
DON-000326,DNR-07147,2024-08-28,14.46,CMP-0001
DON-000327,DNR-09161,2024-02-28,1800.82,CMP-0051
DON-000328,DNR-04467,2025-07-18,13.63,CMP-0066
DON-000329,DNR-03806,2024-08-26,90.62,CMP-0011
DON-000330,DNR-08152,2025-12-21,25.03,CMP-0083
DON-000331,DNR-09748,2023-11-11,75.26,CMP-0071
DON-000332,DNR-03071,2023-03-26,72.06,CMP-0031
DON-000333,DNR-02138,2025-02-21,18.1,CMP-0021
DON-000334,DNR-01036,2023-03-30,48.45,CMP-0026
DON-000335,DNR-06281,2025-04-04,89.72,CMP-0077
DON-000336,DNR-00648,2024-06-27,37.26,CMP-0052
DON-000337,DNR-05158,2022-10-20,52.22,CMP-0092
DON-000338,DNR-04476,2025-09-02,2103.94,CMP-0093
DON-000339,DNR-01454,2024-12-17,45.36,CMP-0070
DON-000340,DNR-05762,2025-01-28,92.11,CMP-0072
DON-000341,DNR-06645,2025-01-01,6492.18,CMP-0012
DON-000342,DNR-02680,2025-12-14,279.13,CMP-0085
DON-000343,DNR-09899,2021-10-28,36.8,CMP-0088
DON-000344,DNR-01315,2023-06-17,5652.88,CMP-0085
DON-000345,DNR-08540,2025-02-27,5986.72,CMP-0016
DON-000346,DNR-01636,2023-12-25,234.11,CMP-0053
DON-000347,DNR-08190,2025-10-12,49.51,CMP-0010
DON-000348,DNR-09576,2023-03-13,8639.2,CMP-0073
DON-000349,DNR-06539,2025-07-28,13.51,CMP-0020
DON-000350,DNR-01550,2024-11-05,39.8,CMP-0062
DON-000351,DNR-07647,2025-11-14,151.57,CMP-0020
DON-000352,DNR-03370,2024-07-23,73.36,CMP-0045
DON-000353,DNR-03769,2024-02-04,88.66,CMP-0057
DON-000354,DNR-07544,2023-07-10,27.06,CMP-0020
DON-000355,DNR-00972,2025-10-05,67.99,CMP-0024
DON-000356,DNR-08719,2025-08-22,5479.28,CMP-0072
DON-000357,DNR-07771,2024-10-12,55.18,CMP-0023
DON-000358,DNR-07514,2025-09-23,88.88,CMP-0025
DON-000359,DNR-03522,2024-06-14,456.7,CMP-0081
DON-000360,DNR-00261,2024-09-29,201.97,CMP-0079
DON-000361,DNR-03977,2025-02-10,69.94,CMP-0026
DON-000362,DNR-09936,2025-12-30,44.57,CMP-0069
DON-000363,DNR-04686,2022-09-16,50.94,CMP-0075
DON-000364,DNR-09130,2024-02-13,78.29,CMP-0087
DON-000365,DNR-05683,2025-12-05,341.12,CMP-0071
DON-000366,DNR-09059,2024-11-04,46.47,CMP-0020
DON-000367,DNR-07755,2025-03-21,98.26,CMP-0029
DON-000368,DNR-03845,2025-02-28,475.63,CMP-0081
DON-000369,DNR-02590,2023-12-21,264.4,CMP-0025
DON-000370,DNR-04028,2025-02-08,19709.07,CMP-0015
DON-000371,DNR-04290,2025-07-15,8836.51,CMP-0012
DON-000372,DNR-06135,2024-09-26,32.99,CMP-0089
DON-000373,DNR-05626,2022-11-25,9736.78,CMP-0054
DON-000374,DNR-03470,2024-10-22,88.19,CMP-0072
DON-000375,DNR-06875,2024-01-16,177.98,CMP-0059
DON-000376,DNR-00527,2024-06-09,42.74,CMP-0092
DON-000377,DNR-01921,2025-07-24,88.41,CMP-0019
DON-000378,DNR-01378,2022-09-28,40.56,CMP-0074
DON-000379,DNR-04342,2023-04-13,1164.9,CMP-0083
DON-000380,DNR-04733,2022-04-06,19367.42,CMP-0011
DON-000381,DNR-09081,2025-06-01,66.29,CMP-0039
DON-000382,DNR-06203,2024-03-07,90.93,CMP-0010
DON-000383,DNR-02645,2025-09-12,91.89,CMP-0035
DON-000384,DNR-08047,2025-05-04,15650.82,CMP-0033
DON-000385,DNR-06348,2023-01-15,63.66,CMP-0065
DON-000386,DNR-07245,2024-09-06,75.56,CMP-0042
DON-000387,DNR-03513,2025-10-15,347.33,CMP-0064
DON-000388,DNR-06139,2025-08-18,20.64,CMP-0031
DON-000389,DNR-00035,2021-05-13,82.86,CMP-0034
DON-000390,DNR-06039,2024-10-11,57.61,CMP-0036
DON-000391,DNR-07867,2025-12-19,92.57,CMP-0031
DON-000392,DNR-00799,2025-12-12,2125.53,CMP-0072
DON-000393,DNR-02811,2023-10-25,27.69,CMP-0010
DON-000394,DNR-00422,2024-12-10,32.59,CMP-0039
DON-000395,DNR-03910,2025-05-20,71.25,CMP-0050
DON-000396,DNR-02753,2024-03-15,2453.09,CMP-0007
DON-000397,DNR-01164,2024-06-26,11.19,CMP-0054
DON-000398,DNR-09673,2025-12-11,12.38,CMP-0077
DON-000399,DNR-06771,2025-04-18,465.25,CMP-0078
DON-000400,DNR-01679,2024-11-05,418.32,CMP-0067
DON-000401,DNR-08046,2025-11-12,9579.65,CMP-0081
DON-000402,DNR-00606,2025-10-30,48.23,CMP-0099
DON-000403,DNR-04363,2024-06-30,6467.42,CMP-0075
DON-000404,DNR-00148,2022-12-28,3579.55,CMP-0022
DON-000405,DNR-05218,2023-09-10,99.18,CMP-0011
DON-000406,DNR-06805,2021-10-10,32.89,CMP-0007
DON-000407,DNR-03068,2025-08-18,4961.38,CMP-0080
DON-000408,DNR-08866,2025-05-16,484.9,CMP-0066
DON-000409,DNR-03717,2024-10-25,25.54,CMP-0071
DON-000410,DNR-06408,2022-08-28,73.18,CMP-0071
DON-000411,DNR-04840,2025-06-14,86.54,CMP-0080
DON-000412,DNR-06473,2025-02-16,83.3,CMP-0097
DON-000413,DNR-07417,2025-09-11,165.57,CMP-0008
DON-000414,DNR-01106,2023-10-04,85.43,CMP-0018
DON-000415,DNR-04218,2024-06-29,52.81,CMP-0063
DON-000416,DNR-02779,2025-07-06,313.3,CMP-0055
DON-000417,DNR-01110,2025-12-15,1657.63,CMP-0022
DON-000418,DNR-08501,2025-11-05,1144.11,CMP-0077
DON-000419,DNR-09825,2022-09-25,4841.09,CMP-0042
DON-000420,DNR-07710,2025-12-18,90.59,CMP-0063
DON-000421,DNR-09975,2025-04-09,30.67,CMP-0044
DON-000422,DNR-05151,2025-07-22,52.23,CMP-0077
DON-000423,DNR-08760,2024-11-10,49.11,CMP-0061
DON-000424,DNR-05110,2023-08-06,62.8,CMP-0078
DON-000425,DNR-04467,2025-08-23,19.3,CMP-0001
DON-000426,DNR-04600,2025-10-23,97.77,CMP-0044
DON-000427,DNR-07105,2025-09-25,22.0,CMP-0046
DON-000428,DNR-09037,2025-03-06,96.74,CMP-0055
DON-000429,DNR-00248,2025-01-21,12545.25,CMP-0040
DON-000430,DNR-07668,2025-12-17,53.76,CMP-0011
DON-000431,DNR-02809,2025-09-29,55.04,CMP-0017
DON-000432,DNR-06381,2023-03-06,44.17,CMP-0084
DON-000433,DNR-04682,2024-09-18,88.88,CMP-0017
DON-000434,DNR-04546,2023-03-13,15.48,CMP-0045
DON-000435,DNR-09938,2025-04-23,13621.31,CMP-0052
DON-000436,DNR-06120,2025-01-06,3695.48,CMP-0036
DON-000437,DNR-04001,2025-03-03,405.51,CMP-0076
DON-000438,DNR-05421,2022-05-26,389.09,CMP-0054
DON-000439,DNR-05940,2024-05-12,30.12,CMP-0033
DON-000440,DNR-09178,2025-08-07,390.7,CMP-0094
DON-000441,DNR-02535,2024-03-17,25.35,CMP-0043
DON-000442,DNR-09025,2025-07-17,51.22,CMP-0076
DON-000443,DNR-00842,2025-06-01,82.49,CMP-0099
DON-000444,DNR-02784,2024-09-07,335.6,CMP-0082
DON-000445,DNR-02870,2025-09-25,3100.63,CMP-0088
DON-000446,DNR-07015,2023-07-24,183.61,CMP-0080
